SOURCELONG:Frostburn	SOURCESHORT:Fro	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-09																														
																																	
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Skill Bonus	CATEGORY:Special Ability	TYPE:HalflingRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:+%1 racial bonus on Jump, Move Silently and Survival checks. Halfl ings raised on the tundra have little opportunity to practice their climbing skills, while ample moments exist to hone one's skills at surviving..|HalflingSkillBonus	KEY:Tundra Halfling ~ Skill Bonus				DEFINE:HalflingSkillBonus|0					BONUS:VAR|HalflingSkillBonus|2	BONUS:SKILL|Jump,Move Silently,Survival|HalflingSkillBonus|TYPE=Racial																	SOURCEPAGE:Fro	ASPECT:SkillBonus|+%1 racial bonus on Jump, Move Silently and Survival checks.|HalflingSkillBonus
Favored Class	CATEGORY:Special Ability	TYPE:HalflingRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Ranger. A multiclass tundra halfl ing's ranger class does not count when determining whether she takes an experience point penalty for multiclassing. Tundra halflings tend to be more isolated and insular, and do not often interact with other societies. This, combined with the fact that they are more often forced to provide for themselves by hunting and gathering, make them turn to the skills of the ranger more often than not.	KEY:Tundra Halfling ~ Favored Class																		TEMPLATE:Halfling ~ Tundra ~ Favored Class									SOURCEPAGE:Fro	
# Neanderthal ~ Common																																	
Primitive Weapon Mastey	CATEGORY:Special Ability	TYPE:NeanderthalRaceTrait.RaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Neanderthals have a +%1 racial bonus on attack rolls made with the following weapons: bolas, club, dart, greatclub, goad, harpoon, iuak, javelin, longspear, quarterstaff, ritiik, shortbow, shortspear, sling, spear, sugliin, throwing axe, and tiger skull club.|NeanderthalPrimitiveWeaponMasteryBonus	KEY:Neanderthal ~ Primitive Weapon Mastery				DEFINE:NeanderthalPrimitiveWeaponMasteryBonus|0					BONUS:VAR|NeanderthalPrimitiveWeaponMasteryBonus|1	BONUS:COMBAT|TOHIT.Bolas,TOHIT.Club,TOHIT.Dart,TOHIT.Greatclub,TOHIT.Goad,TOHIT.Harpoon,TOHIT.Iuak,,TOHIT.Javelin,TOHIT.Longspear,TOHIT.Quarterstaff,TOHIT.Ritiik,TOHIT.Shortbow,TOHIT.Shortspear,TOHIT.Sling,TOHIT.Spear,TOHIT.Sugliin,TOHIT.Axe (Throwing),TOHIT.Club (Tiger Skull)|NeanderthalPrimitiveWeaponMasteryBonus|TYPE=Racial																	SOURCEPAGE:Fro	
Skill Bonus	CATEGORY:Special Ability	TYPE:NeanderthalRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:+%1 racial bonus on Listen, Spot, and Survival checks. Neanderthals have excellent senses and know how to get along in the wild with ease.|NeanderthalSkillBonus	KEY:Neanderthal ~ Skill Bonus				DEFINE:NeanderthalSkillBonus|0					BONUS:VAR|NeanderthalSkillBonus|2	BONUS:SKILL|Listen,Spot,Survival|NeanderthalSkillBonus|TYPE=Racial																	SOURCEPAGE:Fro	ASPECT:SkillBonus|+%1 racial bonus on Listen, Spot and Survival checks.|NeanderthalSkillBonus
Climate Tolerant	CATEGORY:Special Ability	TYPE:NeanderthalRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Neanderthals suffer little harm from environmental extremes of heat or cold. They do not have to make Fortitude saves in extreme environments between -20° and 140° F (severe cold to severe heat). This ability does not provide any protection from fire or cold damage. This ability counts as if a neanderthal had the Cold Endurance feat for purposes of fulfi lling prerequisites for other feats or prestige classes.	KEY:Neanderthal ~ Climate Tolerant																			SERVESAS:ABILITY=FEAT|Cold Endurance								SOURCEPAGE:Fro	
Human Blood	CATEGORY:Special Ability	TYPE:NeanderthalRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:For all effects related to race, a neanderthal is considered a human. Neanderthals are just as vulnerable to special effects that affect humans as humans are, and they can use magic items that are only usable by humans.	KEY:Neanderthal ~ Human Blood									BONUS:VAR|HasHumanBlood|1|TYPE=Racial	SERVESAS:RACE|Human																	SOURCEPAGE:Fro	
Illiteracy	CATEGORY:Special Ability	TYPE:NeanderthalRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Neanderthals do not automatically know how to read and write. A neanderthal must spend 2 skill points to gain the ability to read and write all languages he is able to speak. He does not automatically gain this skill when taking a nonbarbarian character class, with the exception of the wizard class.	KEY:Neanderthal ~ Illiteracy				DEFINE:IlliteracyLVL|0					BONUS:VAR|IlliteracyLVL|BarbarianLVL|TYPE=Racial																		SOURCEPAGE:Fro	
Languages	CATEGORY:Special Ability	TYPE:NeanderthalRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Common. Bonus Languages: Dwarven, Giant, and Orc. Neanderthals are familiar with the languages of giants and orcs, for these two groups are common enemies that vie for competing land with them. Likewise, their penchant for dwelling in caves and underground ruins often puts them in contact with dwarves.	KEY:Neanderthal ~ Languages																		TEMPLATE:Neanderthal ~ Neanderthal ~ Languages									SOURCEPAGE:Fro	
Favored Class	CATEGORY:Special Ability	TYPE:NeanderthalRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Barbarian. A multiclass neanderthal's barbarian class does not count when determining whether she takes an experience point penalty for multiclassing. neanderthal tend to be more isolated and insular, and do not often interact with other societies. This, combined with the fact that they are more often forced to provide for themselves by hunting and gathering, make them turn to the skills of the ranger more often than not.	KEY:Tundra Halfling ~ Favored Class																		TEMPLATE:Halfling ~ Tundra ~ Favored Class									SOURCEPAGE:Fro	
# Udras  ~ Common																																	
Skill Bonus	CATEGORY:Special Ability	TYPE:UldrasRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Uldras can see in the dark up to 120 feet. Darkvision is black and white only, but it is otherwise like normal sight, and uldras can function just fi ne with no light at all.	KEY:Uldras ~ Darkvision									BONUS:VAR|DarkvisionRange|120|TYPE=Racial																		SOURCEPAGE:Fro	
Low-Light Vision	CATEGORY:Special Ability	TYPE:UldrasRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:An uldra can see twice as far as a human in starlight, moonlight, torchlight, and similar conditions of poor illumination. He retains the ability to distinguish color and detail under these conditions.	KEY:Uldras ~ Low-Light Vision									BONUS:VAR|HasLowLightVision|1|TYPE=Base																		SOURCEPAGE:Fro	
Nature Scholar	CATEGORY:Special Ability	TYPE:UldrasRaceTrait.RaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:The Knowledge (nature) skill is always a class skill for uldras, and they gain a +%1 racial bonus on all Knowledge (nature) checks.|UldrasNatureScholarBonus	KEY:Uldras ~ Nature Scholar				DEFINE:UldrasNatureScholarBonus|0					BONUS:VAR|UldrasNatureScholarBonus|2	BONUS:SKILL|Knowledge (Nature)|UldrasNatureScholarBonus|TYPE=Racial								CSKILL:Knowledge (Nature)									SOURCEPAGE:Fro	
Cold Resistance	CATEGORY:Special Ability	TYPE:UldrasRaceTrait.RaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Uldras are completely at home in freezing environments, and they suffer no harm from being in a cold environment. The uldra's equipment is likewise protected. Against attacks that cause cold damage, an uldra possesses resistance to cold 5.	KEY:Uldras ~ Cold Resistance									BONUS:VAR|ColdResistanceBonus|5|TYPE=Resistance									ABILITY:Special Ability|AUTOMATIC|Resistance To Cold									SOURCEPAGE:Fro	
Frosty Touch	CATEGORY:Special Ability	TYPE:UldrasRaceTrait.RaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Uldras are supernaturally cold, and as a free action they can infuse their hands with cold energy. While their hands are frosty, their unarmed attacks do an additional 1 point of cold damage. Any melee weapon an uldra wields is infused with cold and does an additional 1 point of cold damage on a successful hit as long as the uldra continues to hold the weapon. This additional damage does not stack with a magic weapon's ability to deal cold damage (if any).	KEY:Uldras ~ Frosty Touch	DEFINE:FrostyTouchDamage|0								BONUS:VAR|FrostyTouchDamage|1|TYPE=Racial	BONUS:COMBAT|DAMAGE.Unarmed|FrostyTouchDamage|TYPE=Cold	BONUS:COMBAT|DAMAGE.Melee|FrostyTouchDamage|TYPE=Cold																SOURCEPAGE:Fro	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:UldrasRaceTrait.RaceTrait.SpecialQuality.SpellLike	VISIBLE:YES		KEY:Uldras ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=3|CASTERLEVEL=TL|Ray of Frost,10+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=TL|Speak with Animals|Touch of Fatigue,10+CHA								SOURCEPAGE:Fro	
Languages	CATEGORY:Special Ability	TYPE:UldrasRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Common and Sylvan. Bonus Languages: All. Uldras are gifted linguists, and the Speak Language skill is always a class skill for them.	KEY:Uldras ~ Languages																		TEMPLATE:Uldras ~ Uldras ~ Languages	CSKILL:Speak Language								SOURCEPAGE:Fro	
Favored Class	CATEGORY:Special Ability	TYPE:UldrasRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Druid. A multiclass uldra's druid class does not count when determining whether he takes an experience point penalty for multiclassing.	KEY:Uldras ~ Favored Class																		TEMPLATE:Uldras ~ Uldras ~ Favored Class									SOURCEPAGE:Fro	
# Domovoi ~ Common																																	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:DomovoiRaceTrait.RaceTrait.SpecialQuality.SpellLike	VISIBLE:YES		KEY:Domovoi ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATILL|CASTERLEVEL=TL|Produce Flame|Pyrotechnics,12+CHA	SPELLS:Innate|TIMES=3|CASTERLEVEL=TL|Flaming Sphere,12+CHA								SOURCEPAGE:Fro	
Slippery	CATEGORY:Special Ability	TYPE:DomovoiRaceTrait.RaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A domovoi’s coating of ashes and soot makes it difficult to hang onto. A domovoi gains a +2 racial bonus on any Escape Artist checks or grapple checks. This bonus is included in the statistics given above.	KEY:Domovoi ~ Slippery									BONUS:SKILL|Escape Artist|2|TYPE=Racial																		SOURCEPAGE:Fro	
Low-Light Vision	CATEGORY:Special Ability	TYPE:DomovoiRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES		KEY:Domovoi ~ Low-Light Vision									BONUS:VAR|HasLowLightVision|1|TYPE=Base																		SOURCEPAGE:Fro	
Languages	CATEGORY:Special Ability	TYPE:DomovoiRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Common, Ignan, Sylvan. Bonus Languages: Dwarven, Giant, Gnome, Goblin, Halfl ing.	KEY:Domovoi ~ Languages																		TEMPLATE:Domovoi ~ Domovoi ~ Languages									SOURCEPAGE:Fro	
Favored Class	CATEGORY:Special Ability	TYPE:DomovoiRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Rogue. A multiclass domovoi's rogue class does not count when determining whether he takes an experience point penalty for multiclassing.	KEY:Domovoi ~ Favored Class																		TEMPLATE:Domovoi ~ Domovoi ~ Favored Class									SOURCEPAGE:Fro	
#Frost Folk ~ Common																																	
Ice Blast	CATEGORY:Special Ability	TYPE:FrostFolkRaceTrait.RaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Frost folk can produce a 20-foot cone of icy mist from their left eye. This deals 2d6 points of cold damage to all creatures within the area (Refl ex save DC %1 half). The save DC is Constitution based. Once a frost folk uses his ice blast, he must wait 1d4 rounds before he can use this ability again.|IceBlastDC	KEY:Frost Folk ~ Ice Blast				DEFINE:IceBlastDC					BONUS:VAR|IceBlastDC|DefaultDCCon	BONUS:VAR|IceBlastDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Ice Blast)								ABILITY:Ability Focus|AUTOMATIC|Ice Blast									SOURCEPAGE:Fro	
Snowsight	CATEGORY:Special Ability	TYPE:FrostFolkRaceTrait.RaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:All frost folk have innate snowsight, as the spell. No snowstorm can obscure their vision.	KEY:Frost Folk ~ Snowsight																											SOURCEPAGE:Fro	
Skills	CATEGORY:Special Ability	TYPE:FrostFolkRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:*All frost folk gain a +8 racial bonus on Hide checks in snow and ice terrain.	KEY:Frost Folk ~ Skills																											SOURCEPAGE:Fro	
Languages	CATEGORY:Special Ability	TYPE:FrostFolkRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Common. Bonus Languages: Auran, Draconic, Dwarven, Giant, Goblin, Orc.	KEY:Frost Folk ~ Languages																		TEMPLATE:Frost Folk ~ Frost Folk ~ Languages									SOURCEPAGE:Fro	
Favored Class	CATEGORY:Special Ability	TYPE:FrostFolkRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Barbarian. A multiclass frost folk's barbarian class does not count when determining whether he takes an experience point penalty for multiclassing.	KEY:Frost Folk ~ Favored Class																		TEMPLATE:Frost Folk ~ Frost Folk ~ Favored class									SOURCEPAGE:Fro	
																																	
																																	
																																	
																																	
																																	
###Block: Race Traits																																	
Race Traits ~ Branta	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=BrantaRaceTrait	BONUS:VAR|DarkvisionRange|60|TYPE=Racial	BONUS:VAR|HasLowLightVision|1|TYPE=Racial																												
Improved Grab	CATEGORY:Special Ability	TYPE:BrantaRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:To use this ability, the branta must hit a Medium or smaller foe with a gore attack. If it gets a hold, it tosses its opponent..	KEY:Branta ~ Improved Grab																											SOURCEPAGE:Fro	
Toss	CATEGORY:Special Ability	TYPE:BrantaRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Brantas vigorously shake any creature caught in their horns and fling it in a random direction. Resolve the toss as a bull rush maneuver (+8 check modifi er), except that there is no attack of opportunity, since the branta has already grabbed its foe when it tries to toss the victim. The branta does not need to move with its foe in order to throw its foe more than 5 feet. If the tossed victim beats the branta’s Strength check, he remains in his current square with no ill effects and is not grappled any longer. Tossed victims take impact damage on landing as if they had fallen a distance equal to the distance they were tossed.	KEY:Branta ~ Toss																											SOURCEPAGE:Fro	
Scent	CATEGORY:Special Ability	TYPE:BrantaRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A branta can detect opponents within 30 feet. The exact location is not revealed unless the creature is within 5 feet.	KEY:Branta ~ Scent																		ABILITY:Special Ability|AUTOMATIC|Scent									SOURCEPAGE:Fro	
Surefooted	CATEGORY:Special Ability	TYPE:BrantaRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Brantas ignore all movement penalties associated with snow on the ground. They also receive a +4 racial bonus on Balance checks when walking on ice or snow.	KEY:Branta ~ Surefooted									BONUS:SITUATION|Balance=Icy or snow terrain|4|TYPE=Racial																		SOURCEPAGE:Fro	
																																	
Race Traits ~ Chilblain	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=ChilblainRaceTrait	BONUS:VAR|DarkvisionRange|120|TYPE=Racial	BONUS:VAR|HasLowLightVision|1|TYPE=Racial																		ABILITY:FEAT|AUTOMATIC|Improved Initiative										
Breath Weapon	CATEGORY:Special Ability	TYPE:ChilblainRaceTrait.SpecialAttack.Supernatural.Breath Weapon	VISIBLE:YES	DESC:%1-ft. Cone of coldfire, once per day, damage 10d6 frostburn, Reflex DC %2 half. Living creatures that fail their saves must attempt a DC %2 Fortitude save or be blinded by frostbitten skin and frozen eyes for 2d6 rounds. The DC is Constitution-based.|BreathWeaponCone|BreathWeaponDC	KEY:Chilblain ~ Breath Weapon				DEFINE:BreathWeaponCone|0			DEFINE:BreathWeaponDC|0		BONUS:VAR|BreathWeaponCone|60			BONUS:VAR|BreathWeaponDC|DefaultDCCon	BONUS:VAR|BreathWeaponDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Breath Weapon)					ABILITY:Ability Focus|AUTOMATIC|Breath Weapon									SOURCEPAGE:Fro	
Cold Aura	CATEGORY:Special Ability	TYPE:ChilblainRaceTrait.SpecialAttack.Extroardinary	VISIBLE:YES	DESC:A chilblain radiates intense cold in a 10- foot radius. Any creature within 10 feet of the chilblain takes 2d6 points of cold damage at the beginning of its turn.	KEY:Chilblain ~ Cold Aura																											SOURCEPAGE:Fro	
Frost Touch	CATEGORY:Special Ability	TYPE:ChilblainRaceTrait.SpecialAttack.Extroardinary	VISIBLE:YES	DESC:The chilblain’s natural attacks deal an additional 2d6 points of cold damage with each successful hit.	KEY:Chilblain ~ Frost Touch																											SOURCEPAGE:Fro	
Frozen Stare	CATEGORY:Special Ability	TYPE:ChilblainRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:As a standard action, a chilblain can turn a creature within 30 feet to ice permanently with a look. The target must succeed on a DC %1 Fortitude save or be turned to ice (as the spell flesh to ice). The save DC is Charisma-based.|FrozenStareDC	KEY:Chilblain ~ Froszen Stare				DEFINE:FrozenStareDC|0					BONUS:VAR|FrozenStareDC|DefaultDCCha	BONUS:VAR|FrozenStareDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Frozen Stare)								ABILITY:Ability Focus|AUTOMATIC|Frozen Stare									SOURCEPAGE:Fro	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:ChilblainRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Chilblain ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=20|Detect Fire|Frostfell Slide|Frostburn (Lesser),11+CHA|Frostburn,14+CHA|Ice Storm|Shivering Touch,13+CHA|Wall of Ice,14+CHA	SPELLS:Innate|TIMES=3|CASTERLEVEL=20|Cone of Cold,15+CHA|Wall of Coldfire,15+CHA								SOURCEPAGE:Fro	
																																	
Race Traits ~ Dire Animal (Dire Polar Bear)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DireAnimalDirePolarBearRaceTrait	BONUS:VAR|HasLowLightVision|1|TYPE=Racial																			ABILITY:FEAT|AUTOMATIC|Track										
Improved Grab	CATEGORY:Special Ability	TYPE:DireAnimalDirePolarBearRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:To use this ability, a dire polar bear must hit with a claw attack. It can then attempt to start a grapple as a free action without provoking attacks of opportunity.	KEY:Dire Animal (Dire Polar Bear) ~ Improved Grab																											SOURCEPAGE:Fro	
Scent	CATEGORY:Special Ability	TYPE:DireAnimalDirePolarBearRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A dire polar bear can detect opponents within 30 feet. The exact location is not revealed unless the creature is within 5 feet.	KEY:Dire Animal (Dire Polar Bear) ~ Scent																		ABILITY:Special Ability|AUTOMATIC|Scent									SOURCEPAGE:Fro	
Skills	CATEGORY:Special Ability	TYPE:DireAnimalDirePolarBearRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A dire polar bear has a +8 racial bonus on any Swim check to perform some special action or avoid a hazard. It can always choose to take 10 on a Swim check, even if distracted or endangered. It can use the run action while Swimming, provided it swims in a straight line. *A dire polar bear’s white coat bestows a +12 racial bonus on Hide checks in snowy areas.	KEY:Dire Animal (Dire Polar Bear) ~ Skills									BONUS:SITUATION|Swim=Perform some special action or avoid a hazard|8|TYPE=Racial	BONUS:SITUATION|Hide=Icy or snow terrain|12|TYPE=Racial																	SOURCEPAGE:Fro	
																																	
Race Traits ~ Glyptodon	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=GlyptodonRaceTrait	BONUS:VAR|HasLowLightVision|1|TYPE=Racial																													
Augmented Critical	CATEGORY:Special Ability	TYPE:GlyptodonRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A glyptodon deals triple damage if it scores a critical hit with its tail attack.	KEY:Glyptodon ~ Augmented Critical									BONUS:WEAPONPROF=Tail|CRITMULTADD|1																		SOURCEPAGE:Fro	
Trample	CATEGORY:Special Ability	TYPE:GlyptodonRaceTrait.SpecialAttack.Extraordinary.Trample	VISIBLE:YES	DESC:Reflex half DC %1. The save DC is Strength based.|TrampleDC	KEY:Glyptodon ~ Trample				DEFINE:TrampleDC|0					BONUS:VAR|TrampleDC|DefaultDCStr	BONUS:VAR|TrampleDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Trample)	BONUS:VAR|TrampleDice|2	BONUS:VAR|TrampleDieSize|12|TYPE=Base						ABILITY:Ability Focus|AUTOMATIC|Trample									SOURCEPAGE:Fro	
Training	CATEGORY:Special Ability	TYPE:GlyptodonRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Small and Medium humanoids such as neanderthals, goblinoids, and orcs sometimes use glyptodons as mounts or pack animals. They are particularly useful as archery platforms on a battlefi eld, as their gait is slow and steady. Training a glyptodon requires six weeks of work and a successful DC 25 Handle Animal check. Riding a glyptodon requires an exotic saddle that includes a prod that a glyptodon can feel through its armor. A glyptodon can fight while carrying a rider, but the rider cannot also attack unless he or she succeeds on a Ride check.	KEY:Glyptodon ~ Training																		ABILITY:Internal|AUTOMATIC|Training ~ Wild									SOURCEPAGE:Fro	
																																	
Race Traits ~ Megaloceros	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=MegalocerosRaceTrait	BONUS:VAR|HasLowLightVision|1|TYPE=Racial																													
Improved Grab	CATEGORY:Special Ability	TYPE:MegalocerosRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:To use this ability, the creature must hit a Medium or smaller opponent with its gore attack. If it gets a hold, the megaloceros scoops up the opponent with its antlers and can toss it aside.	KEY:Megaloceros ~ Improved Grab																											SOURCEPAGE:Fro	
Stampede	CATEGORY:Special Ability	TYPE:MegalocerosRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A frightened herd of megaloceroses may fl ee as a group in a random direction (but always away from the perceived source of danger). They literally run over anything of Large or smaller size that gets in their way, dealing 1d12 points of damage for each five megaloceroses in the herd (DC %1 Reflex save half).|StampedeDC	KEY:Megaloceros ~ Stampede				DEFINE:StampedeDC|0					BONUS:VAR|StampedeDC|DefaultDCStr	BONUS:VAR|StampedeDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Stampede)								ABILITY:Ability Focus|AUTOMATIC|Stampede									SOURCEPAGE:Fro	
