SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2024-08																													
Brutal Strike	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:If you use Reckless Attack, you can forgo any Advantage on one Strength-based attack roll of your choice on your turn. The chosen attack roll mustn't have Disadvantage. If the chosen attack roll hits, the target takes an extra %1d10 damage of the same type dealt by the weapon or Unarmed Strike, and you can cause one Brutal Strike effect of your choice. You have the following effect options. &nl; Forceful Blow. The target is pushed 15 feet straight away from you. You can then move up to half your Speed straight toward the target without provoking Opportunity Attacks. &nl; Hamstring Blow. The target's Speed is reduced by 15 feet until the start of your next turn. A target can be affected by only one Hamstring Blow at a time- the most recent one.|BrutalStrikeDice	KEY:Barbarian ~ Brutal Strike				DEFINE:BrutalStrikeDice|0					BONUS:VAR|BrutalStrikeDice|1+(BarbarialLVL>=17)																	SORTKEY:Class_Barbarian_01m	SOURCEPAGE:PHB
Relentless Rage	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:Your Rage can keep you fighting despite grievous wounds. If you drop to 0 Hit Points while your Rage is active and don't die outright, you can make a DC 10 Constitution saving throw. If you succeed, your Hit Points instead change to a number equal to twice your Barbarian level. Each time you use this feature after the first, the DC increases by 5. When you finish a Short or Long Rest, the DC resets to 10.	KEY:Barbarian ~ Relentless Rage																										SORTKEY:Class_Barbarian_01n	SOURCEPAGE:PHB
Improved Brutal Strike	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:You have honed new ways to attack furiously. The following effects are now among your Brutal Strike Options. &nl; Staggering Blow. The target has Disadvantage on the next saving throw it makes, and it can't make Opportunity Attacks until the start of your next Turn. &nl; Sundering Blow. Before the start of your next turn, the next attack roll made by another creature against the target gains a +5 bonus to the roll. An attack roll can gain only one Sundering Blow bonus.	KEY:Barbarian ~ Improved Brutal Strike																										SORTKEY:Class_Barbarian_01o	SOURCEPAGE:PHB
Persistent Rage	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:When you roll Initiative, you can regain all expended uses of Rage. After you regain uses of Rage in this way, you can't do so again until you finish a Long Rest. In addition, your Rage is so fierce that it now lasts for 10 minutes without you needing to do anything to extend it from round to round. Your Rage ends early if you have the Unconscious condition (not just the Incapacitated condition) or don Heavy armor.	KEY:Barbarian ~ Persistent Rage																										SORTKEY:Class_Barbarian_01p	SOURCEPAGE:PHB
Indomitable Might	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:If your total for a Strength check or Strength saving throw is less than your Strength score, you can use that score in place of the total.	KEY:Barbarian ~ Indomitable Might																										SORTKEY:Class_Barbarian_01q	SOURCEPAGE:PHB
Epic Boon	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:You gain an Epic Boon feat (see chapter 5) or another feat of your choice for which you qualify. Boon of Irresistible Offense is recommended.	KEY:Barbarian ~ Epic Boon									BONUS:VAR|POOL_Epic_Boon|1																	SORTKEY:Class_Barbarian_01r	SOURCEPAGE:PHB
Primal Champion	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:You embody primal power. Your Strength and Constitution scores increase by 4, to a maximum of 25.	KEY:Barbarian ~ Primal Champion									BONUS:STAT|CON|4	BONUS:STAT|STR|4	BONUS:VAR|MaxStatCon|5	BONUS:VAR|MaxStatStr|5														SORTKEY:Class_Barbarian_01s	SOURCEPAGE:PHB
																																
###Block:Barbarian Subclass																																
Path of the Berserker	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.Barbarian Subclass.SpecialQuality	VISIBLE:YES	DESC:Barbarians who walk the Path of the Berserker direct their Rage primarily toward violence. Their path is one of untrammeled fury, and they thrill in the chaos of battle as they allow their Rage to seize and empower them.	KEY:Barbarian Subclass ~ Path of the Berserker																		ABILITY:Barbarian Class Feature|AUTOMATIC|Path of the Berserker ~ Frenzy|PREVAREQ:BarbarianLVL,3	ABILITY:Barbarian Class Feature|AUTOMATIC|Path of the Berserker ~ Mindless Rage|PREVAREQ:BarbarianLVL,6	ABILITY:Barbarian Class Feature|AUTOMATIC|Path of the Berserker ~ Retaliation|PREVAREQ:BarbarianLVL,10	ABILITY:Barbarian Class Feature|AUTOMATIC|Path of the Berserker ~ Intimidating Presence|PREVAREQ:BarbarianLVL,14					SORTKEY:Class_Barbarian_01f1	SOURCEPAGE:PHB
Path of the Wild Heart	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.Barbarian Subclass.SpecialQuality	VISIBLE:YES	DESC:Barbarians who follow the Path of the Wild Heart view themselves as kin to animals. These Barbarians learn magical means to communicate with animals, and their Rage heightens their connection to animals as it fills them with supernatural might.	KEY:Barbarian Subclass ~ Path of Wild Heart																		ABILITY:Barbarian Class Feature|AUTOMATIC|Path of the Wild Heart ~ Animal Speaker|PREVAREQ:BarbarianLVL,3	ABILITY:Barbarian Class Feature|AUTOMATIC|Path of the Wild Heart ~ Rage of the Wilds|PREVAREQ:BarbarianLVL,3	ABILITY:Barbarian Class Feature|AUTOMATIC|Path of the Wild Heart ~ Aspect of the Wilds|PREVAREQ:BarbarianLVL,6	ABILITY:Barbarian Class Feature|AUTOMATIC|Path of the Wild Heart ~ Nature Speaker|PREVAREQ:BarbarianLVL,10	ABILITY:Barbarian Class Feature|AUTOMATIC|Path of the Wild Heart ~ Power of the Wilds|PREVAREQ:BarbarianLVL,14				SORTKEY:Class_Barbarian_01f2	SOURCEPAGE:PHB
Path of the World Tree	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.Barbarian Subclass.SpecialQuality	VISIBLE:YES	DESC:Barbarians who follow the Path of the World Tree connect with the cosmic tree Yggdrasil through their Rage. This tree grows among the Outer Planes, connecting them to each other and the Material Plane. These Barbarians draw on the tree's magic for vitality and as a means of dimensional travel.	KEY:Barbarian Subclass ~ Path of World Tree																		ABILITY:Barbarian Class Feature|AUTOMATIC|Path of the World Tree ~ Vitality of the Tree|PREVAREQ:BarbarianLVL,3	ABILITY:Barbarian Class Feature|AUTOMATIC|Path of the World Tree ~ Branches of the Tree|PREVAREQ:BarbarianLVL,6	ABILITY:Barbarian Class Feature|AUTOMATIC|Path of the World Tree ~ Battering Roots|PREVAREQ:BarbarianLVL,10	ABILITY:Barbarian Class Feature|AUTOMATIC|Path of the World Tree ~ Travel Along the Tree|PREVAREQ:BarbarianLVL,14					SORTKEY:Class_Barbarian_01f3	SOURCEPAGE:PHB
Pact of the Zealot	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.Barbarian Subclass.SpecialQuality	VISIBLE:YES	DESC:Barbarians who walk the Path of the Zealot receive boons from a god or pantheon. These Barbarians experience their Rage as an ecstatic episode of divine union that infuses them with power. They are often allies to the priests and other followers of their god or pantheon.	KEY:Barbarian Subclass ~ Path of the Zealot																		ABILITY:Barbarian Class Feature|AUTOMATIC|Path of the Zealot ~ Divine Fury|PREVAREQ:BarbarianLVL,3	ABILITY:Barbarian Class Feature|AUTOMATIC|Path of the Zealot ~ Warrior of the Gods|PREVAREQ:BarbarianLVL,3	ABILITY:Barbarian Class Feature|AUTOMATIC|Path of the Zealot ~ Fanatical Focus|PREVAREQ:BarbarianLVL,6	ABILITY:Barbarian Class Feature|AUTOMATIC|Path of the Zealot ~ Zealous Presence|PREVAREQ:BarbarianLVL,10	ABILITY:Barbarian Class Feature|AUTOMATIC|Path of the Zealot ~ Rage of the Gods|PREVAREQ:BarbarianLVL,14				SORTKEY:Class_Barbarian_01f4	SOURCEPAGE:PHB
																																
Frenzy	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.Path of the Berserker.SpecialQuality	VISIBLE:YES	DESC:Starting when you choose this path at 3rd level, you can go into a frenzy when you rage. If you do so, for the duration of your rage you can make a single melee weapon attack as a bonus action on each of your turns after this one. When your rage ends, you suffer one level of exhaustion (as described in appendix A).	KEY:Path of the Berserker ~ Frenzy																										SORTKEY:Class_Barbarian_01f1a	SOURCEPAGE:PHB
Mindless Rage	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.Path of the Berserker.SpecialQuality	VISIBLE:YES	DESC:Beginning at 6th level, you can't be charmed or frightened while raging. If you are charmed or frightened when you enter your rage, the effect is suspended for the duration of the rage.	KEY:Path of the Berserker ~ Mindless Rage																										SORTKEY:Class_Barbarian_01f1b	SOURCEPAGE:PHB
Retaliation	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.Path of the Berserker.SpecialQuality	VISIBLE:YES	DESC:Starting at 14th level, when you take damage from a creature that is within 5 feet of you. you can use your reaction to make a melee weapon attack against that creature.	KEY:Path of the Berserker ~ Retaliation																										SORTKEY:Class_Barbarian_01f1c	SOURCEPAGE:PHB
Intimidating Presence	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.Path of the Berserker.SpecialQuality	VISIBLE:YES	DESC:Beginning at 10th level, you can use your action to frighten someone with your menacing presence. When you do so, choose one creature that you can see within 30 feet of you. If the creature can see or hear you, it must succeed on a Wisdom saving throw (DC equal to %1) or be frightened of you until the end of your next turn. On subsequent turns, you can use your action to extend the duration of this effect on the frightened creature until the end of your next turn. This effect ends if the creature ends its turn out of line of sight or more than 60 feet away from you. If the creature succeeds on its saving throw, you can't use this feature on that creature again for 24 hours.|8+Proficiency_Bonus+CHA	KEY:Path of the Berserker ~ Intimidating Presence																										SORTKEY:Class_Barbarian_01f1d	SOURCEPAGE:PHB
																																
Animal Speaker	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.Path of the Wild Heart.SpecialQuality	VISIBLE:YES	DESC:You can cast the Beast Sense and Speak with Animals spells but only as Rituals. Wisdom is your spellcasting ability for them.	KEY:Path of the Wild Heart ~ Animal Speaker																		SPELLS:Animal Speaker|TIMES=ATWILL|Beast Sense(Ritual)	SPELLS:Animal Speaker|TIMES=ATWILL|Speak with Animals(Ritual)							SORTKEY:Class_Barbarian_01f2a	SOURCEPAGE:PHB
Rage of the Wilds	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.Path of the Wild Heart.SpecialQuality	VISIBLE:YES	DESC:Your Rage taps into the primal power of animals. Whenever you activate your Rage, you gain one of the following options of your choice. &nl; Bear. While your Rage is active, you have Resistance to every damage type except Force, Necrotic, Psychic, and Radiant. &nl; Eagle. When you activate your Rage, you can take the Disengage and Dash actions as part of that Bonus Action. While your Rage is active, you can take a Bonus Action to take both of those actions. &nl; Wolf. While your Rage is active, your allies have Advantage on attack rolls against any enemy of yours within 5 feet of you.	KEY:Path of the Wild Heart ~ Rage of the Wilds																										SORTKEY:Class_Barbarian_01f2b	SOURCEPAGE:PHB
Aspect of the Wilds	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.Path of the Wild Heart.SpecialQuality	VISIBLE:YES	DESC:You gain one of the following options of your choice. Whenever you finish a Long Rest, you can change your choice. &nl; Owl. You have Darkvision with a range of 60 feet. If you already have Darkvision, its range increases by 60 feet. &nl; Panther. You have a Climb Speed equal to your Speed. &nl; Salmon. You have a Swim Speed equal to your Speed.	KEY:Path of the Wild Heart ~ Aspect of the Wilds																										SORTKEY:Class_Barbarian_01f2c	SOURCEPAGE:PHB
Nature Speaker	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.Path of the Wild Heart.SpecialQuality	VISIBLE:YES	DESC:You can cast the Commune with Nature spell but only as a Ritual. Wisdom is your spellcasting ability for it.	KEY:Path of the Wild Heart ~ Nature Speaker																		SPELLS:Nature Speaker|TIMES=ATWILL|Commune with Nature(Ritual)								SORTKEY:Class_Barbarian_01f2d	SOURCEPAGE:PHB
Power of the Wilds	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.Path of the Wild Heart.SpecialQuality	VISIBLE:YES	DESC:Whenever you activate your Rage, you gain one of the following options of your choice. &nl; Falcon. While your Rage is active, you have a Fly Speed equal to your Speed if you aren't wearing any armor. &nl; Lion. While your Rage is active, any of your enemies within 5 feet of you have Disadvantage on attack rolls against targets other than you or another Barbarian who has this option active. &nl; Ram. While your Rage is active, you can cause a Large or smaller creature to have the Prone condition when you hit it with a melee attack.	KEY:Path of the Wild Heart ~ Power of the Wilds																										SORTKEY:Class_Barbarian_01f2e	SOURCEPAGE:PHB
																																
Vitality of the Tree	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.Path of the World Tree.SpecialQuality	VISIBLE:YES	DESC:Your Rage taps into the life force of the World Tree. You gain the following benefits. &nl; Vitality Surge. When you activate your Rage, you gain a number of Temporary Hit Points equal to your Barbarian level. &nl; Life-Giving Force. At the start of each of your turns while your Rage is active, you can choose another creature within 10 feet of yourself to gain Temporary Hit Points. To determine the number of Temporary Hit Points, roll a number of d6s equal to your Rage Damage bonus, and add them together. If any of these Temporary Hit Points remain when your Rage ends, they vanish.	KEY:Path of the World Tree ~ Vitality of the Tree																										SORTKEY:Class_Barbarian_01f3a	SOURCEPAGE:PHB
Branches of the Tree	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.Path of the World Tree.SpecialQuality	VISIBLE:YES	DESC:Whenever a creature you can see starts its turn within 30 feet of you while your Rage is active, you can take a Reaction to summon spectral branches of the World Tree around it. The target must succeed on a Strength saving throw (DC 8 plus your Strength modifier and Proficiency Bonus) or be teleported to an unoccupied space you can see within 5 feet of yourself or in the nearest unoccupied space you can see. After the target teleports, you can reduce its Speed to 0 until the end of the current turn.	KEY:Path of the World Tree ~ Branches of the Tree																										SORTKEY:Class_Barbarian_01f3b	SOURCEPAGE:PHB
Battering Roots	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.Path of the World Tree.SpecialQuality	VISIBLE:YES	DESC:During your turn, your reach is 10 feet greater with any Melee weapon that has the Heavy or Versatile property, as tendrils of the World Tree extend from you. When you hit with such a weapon on your turn, you can activate the Push or Topple mastery property in addition to a different mastery property you're using with that weapon.	KEY:Path of the World Tree ~ Battering Roots																										SORTKEY:Class_Barbarian_01f3c	SOURCEPAGE:PHB
Travel Along the Tree	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.Path of the World Tree.SpecialQuality	VISIBLE:YES	DESC:When you activate your Rage and as a Bonus Action while your Rage is active, you can teleport up to 60 feet to an unoccupied space you can see. In addition, once per Rage, you can increase the range of that teleport to 150 feet. When you do so, you can also bring up to six willing creatures who are within 10 feet of you. Each creature teleports to an unoccupied space of your choice within 10 feet of your destination space.	KEY:Path of the World Tree ~ Travel Along the Tree																										SORTKEY:Class_Barbarian_01f3d	SOURCEPAGE:PHB
																																
