SOURCELONG:Planar Handbook	SOURCESHORT:PH	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																														
																																	
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Favored Class	CATEGORY:Special Ability	TYPE:BariaurRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Ranger.	KEY:Bariaur ~ Favored Class																		TEMPLATE:Bariaur ~ Common ~ Favored Class									SOURCEPAGE:PH	
Quadruped	CATEGORY:Special Ability	TYPE:BariaurRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Because they have four hooved feet, bariaurs are harder to bull rush and trip (see Chapter 8 of the Player's Handbook). However, armor must be purchased as barding, not standard armor. Bariaur cannot wear boots designed for humanoids.	KEY:Bariaur ~ Quadruped									BONUS:VAR|BardingAllowed|1|TYPE=Base	BONUS:VAR|RaceSizeIsLong|1																	SOURCEPAGE:PH	
																																	
Race Traits ~ Buomman	CATEGORY:Internal				BONUS:VAR|AdvancementByClass|1																		ABILITY:Special Ability|AUTOMATIC|Buomman Racial Traits	ABILITY:Buomman Subrace|AUTOMATIC|Buomman ~ Common|!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice									
Buomman Racial Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:DISPLAY		KEY:Buomman Racial Traits																												
Low-Light Vision	CATEGORY:Special Ability	TYPE:BuommanRaceTrait.SpecialQuality	VISIBLE:YES	DESC:buomman can see twice as far as a human in starlight, moonlight, torchlight, and similar conditions of poor illumination. He retains the ability to distinguish color and detail under these conditions.	KEY:Buomman ~ Low-Light Vision									BONUS:VAR|HasLowLightVision|1|TYPE=Base																		SOURCEPAGE:PH	
Listen Skill Bonus	CATEGORY:Special Ability	TYPE:BuommanRaceTrait.SpecialQuality	VISIBLE:YES	DESC:+%1 racial bonus on Listen checks.|BuommanListenSkillBonus	KEY:Buomman ~ Listen Skill Bonus				DEFINE:BuommanListenSkillBonus|0					BONUS:VAR|BuommanListenSkillBonus|2	BONUS:SKILL|Listen|BuommanListenSkillBonus|TYPE=Racial																	SOURCEPAGE:PH	
Perform (Sing) Skill Bonus	CATEGORY:Special Ability	TYPE:BuommanRaceTrait.SpecialQuality	VISIBLE:YES	DESC:+%1 racial bonus on Perform (Sing) checks.|BuommanPerformSingSkillBonus	KEY:Buomman ~ Perform (Sing) Skill Bonus				DEFINE:BuommanPerformSingSkillBonus|0					BONUS:VAR|BuommanPerformSingSkillBonus|2	BONUS:SKILL|Perform (Sing)|BuommanPerformSingSkillBonus|TYPE=Racial																	SOURCEPAGE:PH	
Vow of Silence	CATEGORY:Special Ability	TYPE:BuommanRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Buommans take a vow against speech at an extremely early age, after which they simply refuse to engage in traditional forms of communication. A buomman who breaks this vow takes 1 point of Wisdom damage and takes a -2 penalty on attack rolls, saves, and checks for 24 hours afterward. (If the buomman breaks the vow again before 24 hours have passed, he takes an additional point of Wisdom damage, and his penalty on attack rolls, saves, and checks persists for another 24 hours.) A buomman spellcaster who wishes to cast spells with a verbal component must use the Silent Spell metamagic feat or else have the Nonverbal Spell feat (see page 40).	KEY:Buomman ~ Vow of Silence																											SOURCEPAGE:PH	
Languages	CATEGORY:Special Ability	TYPE:BuommanRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Buommans speak Buommi and understand Common. Bonus Languages: Aquan, Githzerai, Terran.	KEY:Buomman ~ Languages																		TEMPLATE:Buomman ~ Common ~ Languages									SOURCEPAGE:PH	
Favored Class	CATEGORY:Special Ability	TYPE:BuommanRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Monk.	KEY:Buomman ~ Favored Class																		TEMPLATE:Buomman ~ Common ~ Favored Class									SOURCEPAGE:PH	
																																	
Race Traits ~ Mephling (Air Mephling)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=MephlingAirMephlingRaceTrait											BONUS:VAR|Maneuverability|5|TYPE=Base	BONUS:VAR|HasLowLightVision|1|TYPE=Base																		
Hide Skill Bonus	CATEGORY:Special Ability	TYPE:MephlingAirMephlingRaceTrait.SpecialQuality	VISIBLE:YES	DESC:+%1 racial bonus on Hide checks.|MephlingAirMephlingHideSkillBonus	KEY:Mephling (Air Mephling) ~ Hide Skill Bonus				DEFINE:MephlingAirMephlingHideSkillBonus|0					BONUS:VAR|MephlingAirMephlingHideSkillBonus|4	BONUS:SKILL|Hide|MephlingAirMephlingHideSkillBonus|TYPE=Racial																	SOURCEPAGE:PH	
Combat Bonus	CATEGORY:Special Ability	TYPE:MephlingAirMephlingRaceTrait.SpecialQuality	VISIBLE:YES	DESC:+%1 bonus on attack rolls.|MephlingAirMephlingCombatBonus	KEY:Mephling (Air Mephling) ~ Combat Bonus				DEFINE:MephlingAirMephlingCombatBonus|0					BONUS:VAR|MephlingAirMephlingCombatBonus|1	BONUS:COMBAT|TOHIT|MephlingAirMephlingCombatBonus|TYPE=Racial																	SOURCEPAGE:PH	
Breath Weapon	CATEGORY:Special Ability	TYPE:MephlingAirMephlingRaceTrait.SpecialAttack.Supernatural.Breath Weapon	VISIBLE:YES	DESC:An Air Mephling has one type of breath weapon useable %5/day, a cone of dust and grit. Creatures within the cone must succeed on a Reflex save for half damage. Damage %1d%2, DC %3, Length %4|BreathWeaponDice|BreathWeaponDieSize|BreathWeaponDC|BreathWeaponCone|BreathWeaponTimes	KEY:Mephling (Air Mephling) ~ Breath Weapon				DEFINE:BreathWeaponCone|0	DEFINE:BreathWeaponDice|0	DEFINE:BreathWeaponDamageDie|0	DEFINE:BreathWeaponDC|0	DEFINE:BreathWeaponTimes|0	BONUS:VAR|BreathWeaponCone|15	BONUS:VAR|BreathWeaponDice|1	BONUS:VAR|BreathWeaponDieSize|8|TYPE=Base	BONUS:VAR|BreathWeaponDC|DefaultDCCon	BONUS:VAR|BreathWeaponDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Breath Weapon)	BONUS:VAR|BreathWeaponTimes|1+(TL/4)				ABILITY:Ability Focus|AUTOMATIC|Breath Weapon									SOURCEPAGE:PH	
Element Focus	CATEGORY:Special Ability	TYPE:MephlingAirMephlingRaceTrait.SpecialAttack	VISIBLE:YES	DESC:Mephlings cast spells with an elemental descriptor that matches their kind (air, earth, fire, or water) at +1 caster level.	KEY:Mephling (Air Mephling) ~ Element Focus									BONUS:CASTERLEVEL|DESCRIPTOR.Air|1																		SOURCEPAGE:PH	
Languages	CATEGORY:Special Ability	TYPE:MephlingAirMephlingRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Mephlings speak Common and one elemental language appropriate to their kind (Aquan, Auran, Ignan, or Terran). Bonus Languages: Aquan, Auran, Ignan, Terran.	KEY:Mephling  (Air Mephling) ~ Languages																		TEMPLATE:Mephling ~ Air Mephling ~ Languages									SOURCEPAGE:PH	
Favored Class	CATEGORY:Special Ability	TYPE:MephlingAirMephlingRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Bard.	KEY:Mephling (Air Mephling) ~ Favored Class																		TEMPLATE:Mephling ~ Air Mephling ~ Favored Class									SOURCEPAGE:PH	
																																	
Race Traits ~ Mephling (Earth Mephling)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=MephlingEarthMephlingRaceTrait											BONUS:VAR|Maneuverability|5|TYPE=Base	BONUS:VAR|HasLowLightVision|1|TYPE=Base																		
Hide Skill Bonus	CATEGORY:Special Ability	TYPE:MephlingEarthMephlingRaceTrait.SpecialQuality	VISIBLE:YES	DESC:+%1 racial bonus on Hide checks.|MephlingEarthMephlingHideSkillBonus	KEY:Mephling (Earth Mephling) ~ Hide Skill Bonus				DEFINE:MephlingEarthMephlingHideSkillBonus|0					BONUS:VAR|MephlingEarthMephlingHideSkillBonus|4	BONUS:SKILL|Hide|MephlingEarthMephlingHideSkillBonus|TYPE=Racial																	SOURCEPAGE:PH	
Combat Bonus	CATEGORY:Special Ability	TYPE:MephlingEarthMephlingRaceTrait.SpecialQuality	VISIBLE:YES	DESC:+%1 bonus on attack rolls.|MephlingEarthMephlingCombatBonus	KEY:Mephling (Earth Mephling) ~ Combat Bonus				DEFINE:MephlingEarthMephlingCombatBonus|0					BONUS:VAR|MephlingEarthMephlingCombatBonus|1	BONUS:COMBAT|TOHIT|MephlingEarthMephlingCombatBonus|TYPE=Racial																	SOURCEPAGE:PH	
Breath Weapon	CATEGORY:Special Ability	TYPE:MephlingEarthMephlingRaceTrait.SpecialAttack.Supernatural.Breath Weapon	VISIBLE:YES	DESC:An Earth Mephling has one type of breath weapon useable %5/day, a cone of rock shards. Creatures within the cone must succeed on a Reflex save for half damage. Damage %1d%2, DC %3, Length %4|BreathWeaponDice|BreathWeaponDieSize|BreathWeaponDC|BreathWeaponCone|BreathWeaponTimes	KEY:Mephling (Air Mephling) ~ Breath Weapon				DEFINE:BreathWeaponCone|0	DEFINE:BreathWeaponDice|0	DEFINE:BreathWeaponDamageDie|0	DEFINE:BreathWeaponDC|0	DEFINE:BreathWeaponTimes|0	BONUS:VAR|BreathWeaponCone|15	BONUS:VAR|BreathWeaponDice|1	BONUS:VAR|BreathWeaponDieSize|8|TYPE=Base	BONUS:VAR|BreathWeaponDC|DefaultDCCon	BONUS:VAR|BreathWeaponDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Breath Weapon)	BONUS:VAR|BreathWeaponTimes|1+(TL/4)				ABILITY:Ability Focus|AUTOMATIC|Breath Weapon									SOURCEPAGE:PH	
Element Focus	CATEGORY:Special Ability	TYPE:MephlingEarthMephlingRaceTrait.SpecialAttack	VISIBLE:YES	DESC:Mephlings cast spells with an elemental descriptor that matches their kind (air, earth, fire, or water) at +1 caster level.	KEY:Mephling (Earth Mephling) ~ Element Focus									BONUS:CASTERLEVEL|DESCRIPTOR.Earth|1																		SOURCEPAGE:PH	
Languages	CATEGORY:Special Ability	TYPE:MephlingEarthMephlingRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Mephlings speak Common and one elemental language appropriate to their kind (Aquan, Auran, Ignan, or Terran). Bonus Languages: Aquan, Auran, Ignan, Terran.	KEY:Mephling  (Earth Mephling) ~ Languages																		TEMPLATE:Mephling ~ Earth Mephling ~ Languages									SOURCEPAGE:PH	
Favored Class	CATEGORY:Special Ability	TYPE:MephlingEarthMephlingRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Druid.	KEY:Mephling (Earth Mephling) ~ Favored Class																		TEMPLATE:Mephling ~ Earth Mephling ~ Favored Class									SOURCEPAGE:PH	
																																	
Race Traits ~ Mephling (Fire Mephling)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=MephlingFireMephlingRaceTrait											BONUS:VAR|Maneuverability|5|TYPE=Base	BONUS:VAR|HasLowLightVision|1|TYPE=Base																		
Hide Skill Bonus	CATEGORY:Special Ability	TYPE:MephlingFireMephlingRaceTrait.SpecialQuality	VISIBLE:YES	DESC:+%1 racial bonus on Hide checks.|MephlingFireMephlingHideSkillBonus	KEY:Mephling (Fire Mephling) ~ Hide Skill Bonus				DEFINE:MephlingFireMephlingHideSkillBonus|0					BONUS:VAR|MephlingFireMephlingHideSkillBonus|4	BONUS:SKILL|Hide|MephlingFireMephlingHideSkillBonus|TYPE=Racial																	SOURCEPAGE:PH	
Combat Bonus	CATEGORY:Special Ability	TYPE:MephlingFireMephlingRaceTrait.SpecialQuality	VISIBLE:YES	DESC:+%1 bonus on attack rolls.|MephlingFireMephlingCombatBonus	KEY:Mephling (Fire Mephling) ~ Combat Bonus				DEFINE:MephlingFireMephlingCombatBonus|0					BONUS:VAR|MephlingFireMephlingCombatBonus|1	BONUS:COMBAT|TOHIT|MephlingFireMephlingCombatBonus|TYPE=Racial																	SOURCEPAGE:PH	
Breath Weapon	CATEGORY:Special Ability	TYPE:MephlingFireMephlingRaceTrait.SpecialAttack.Supernatural.Breath Weapon	VISIBLE:YES	DESC:An Fire Mephling has one type of breath weapon useable %5/day, a cone of flames. Creatures within the cone must succeed on a Reflex save for half damage. Damage %1d%2, DC %3, Length %4|BreathWeaponDice|BreathWeaponDieSize|BreathWeaponDC|BreathWeaponCone|BreathWeaponTimes	KEY:Mephling (Air Mephling) ~ Breath Weapon				DEFINE:BreathWeaponCone|0	DEFINE:BreathWeaponDice|0	DEFINE:BreathWeaponDamageDie|0	DEFINE:BreathWeaponDC|0	DEFINE:BreathWeaponTimes|0	BONUS:VAR|BreathWeaponCone|15	BONUS:VAR|BreathWeaponDice|1	BONUS:VAR|BreathWeaponDieSize|8|TYPE=Base	BONUS:VAR|BreathWeaponDC|DefaultDCCon	BONUS:VAR|BreathWeaponDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Breath Weapon)	BONUS:VAR|BreathWeaponTimes|1+(TL/4)				ABILITY:Ability Focus|AUTOMATIC|Breath Weapon									SOURCEPAGE:PH	
Element Focus	CATEGORY:Special Ability	TYPE:MephlingEarthMephlingRaceTrait.SpecialAttack	VISIBLE:YES	DESC:Mephlings cast spells with an elemental descriptor that matches their kind (air, earth, fire, or water) at +1 caster level.	KEY:Mephling (Earth Mephling) ~ Element Focus									BONUS:CASTERLEVEL|DESCRIPTOR.Earth|1																		SOURCEPAGE:PH	
Languages	CATEGORY:Special Ability	TYPE:MephlingFireMephlingRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Mephlings speak Common and one elemental language appropriate to their kind (Aquan, Auran, Ignan, or Terran). Bonus Languages: Aquan, Auran, Ignan, Terran.	KEY:Mephling  (Fire Mephling) ~ Languages																		TEMPLATE:Mephling ~ Fire Mephling ~ Languages									SOURCEPAGE:PH	
Favored Class	CATEGORY:Special Ability	TYPE:MephlingFireMephlingRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Sorcerer.	KEY:Mephling (Fire Mephling) ~ Favored Class																		TEMPLATE:Mephling ~ Fire Mephling ~ Favored Class									SOURCEPAGE:PH	
																																	
Race Traits ~ Mephling (Water Mephling)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=MephlingWaterMephlingRaceTrait											BONUS:VAR|Maneuverability|5|TYPE=Base	BONUS:VAR|HasLowLightVision|1|TYPE=Base																		
Hide Skill Bonus	CATEGORY:Special Ability	TYPE:MephlingWaterMephlingRaceTrait.SpecialQuality	VISIBLE:YES	DESC:+%1 racial bonus on Hide checks.|MephlingWaterMephlingHideSkillBonus	KEY:Mephling (Water Mephling) ~ Hide Skill Bonus				DEFINE:MephlingWaterMephlingHideSkillBonus|0					BONUS:VAR|MephlingWaterMephlingHideSkillBonus|4	BONUS:SKILL|Hide|MephlingWaterMephlingHideSkillBonus|TYPE=Racial																	SOURCEPAGE:PH	
Combat Bonus	CATEGORY:Special Ability	TYPE:MephlingWaterMephlingRaceTrait.SpecialQuality	VISIBLE:YES	DESC:+%1 bonus on attack rolls.|MephlingWaterMephlingCombatBonus	KEY:Mephling (Water Mephling) ~ Combat Bonus				DEFINE:MephlingWaterMephlingCombatBonus|0					BONUS:VAR|MephlingWaterMephlingCombatBonus|1	BONUS:COMBAT|TOHIT|MephlingWaterMephlingCombatBonus|TYPE=Racial																	SOURCEPAGE:PH	
Breath Weapon	CATEGORY:Special Ability	TYPE:MephlingWaterMephlingRaceTrait.SpecialAttack.Supernatural.Breath Weapon	VISIBLE:YES	DESC:An Water Mephling has one type of breath weapon useable %5/day, a cone of caustic liquid. Creatures within the cone must succeed on a Reflex save for half damage. Damage %1d%2, DC %3, Length %4|BreathWeaponDice|BreathWeaponDieSize|BreathWeaponDC|BreathWeaponCone|BreathWeaponTimes	KEY:Mephling (Air Mephling) ~ Breath Weapon				DEFINE:BreathWeaponCone|0	DEFINE:BreathWeaponDice|0	DEFINE:BreathWeaponDamageDie|0	DEFINE:BreathWeaponDC|0	DEFINE:BreathWeaponTimes|0	BONUS:VAR|BreathWeaponCone|15	BONUS:VAR|BreathWeaponDice|1	BONUS:VAR|BreathWeaponDieSize|8|TYPE=Base	BONUS:VAR|BreathWeaponDC|DefaultDCCon	BONUS:VAR|BreathWeaponDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Breath Weapon)	BONUS:VAR|BreathWeaponTimes|1+(TL/4)				ABILITY:Ability Focus|AUTOMATIC|Breath Weapon									SOURCEPAGE:PH	
Element Focus	CATEGORY:Special Ability	TYPE:MephlingWaterMephlingRaceTrait.SpecialAttack	VISIBLE:YES	DESC:Mephlings cast spells with an elemental descriptor that matches their kind (air, earth, fire, or water) at +1 caster level.	KEY:Mephling (Water Mephling) ~ Element Focus									BONUS:CASTERLEVEL|DESCRIPTOR.Acid|1																		SOURCEPAGE:PH	
Languages	CATEGORY:Special Ability	TYPE:MephlingWaterMephlingRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Mephlings speak Common and one elemental language appropriate to their kind (Aquan, Auran, Ignan, or Terran). Bonus Languages: Aquan, Auran, Ignan, Terran.	KEY:Mephling  (Water Mephling) ~ Languages																		TEMPLATE:Mephling ~ Water Mephling ~ Languages									SOURCEPAGE:PH	
Favored Class	CATEGORY:Special Ability	TYPE:MephlingWaterMephlingRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Monk.	KEY:Mephling (Water Mephling) ~ Favored Class																		TEMPLATE:Mephling ~ Water Mephling ~ Favored Class									SOURCEPAGE:PH	
																																	
Race Traits ~ Neraph	CATEGORY:Internal				BONUS:VAR|AdvancementByClass|1																		ABILITY:Special Ability|AUTOMATIC|Neraph Racial Traits	ABILITY:Neraph Subrace|AUTOMATIC|Neraph ~ Common|!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice									
Neraph Racial Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:DISPLAY		KEY:Neraph Racial Traits																												
Darkvision	CATEGORY:Special Ability	TYPE:NeraphRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Neraph have darkvision out to 60 feet.	KEY:Neraph ~ Darkvision									BONUS:VAR|DarkvisionRange|60|TYPE=Base																		SOURCEPAGE:PH	
Neraph Camouflage	CATEGORY:Special Ability	TYPE:NeraphRaceTrait.SpecialAttack	VISIBLE:YES	DESC:When charging an opponent or when using a thrown weapon, neraphim can use a technique known as motion camoufl age (also called neraph camoufl age by other races), which predatory insects use to trick prey into thinking they are stationary even though they are moving closer. The target creature can be fooled into believing that the charging neraph or the neraph's thrown weapon is in fact not moving closer, or moving closer only very slowly. A neraph can make one camoufl age attack per enemy per encounter (once a foe sees the attack in action, that foe can discern it for what it is for the duration of that combat). Creatures that are subject to a neraph's charge or that are targeted by a weapon thrown by a neraph may not apply their Dexterity bonuses to their Armor Class. All conditions that pertain when a foe cannot apply his Dexterity bonus to Armor Class also pertain to the neraph's attack (for instance, a sneak attack could also be made with this attack, if the neraph can make such an attack).	KEY:Neraph ~ Neraph Camouflage																											SOURCEPAGE:PH	
Leap	CATEGORY:Special Ability	TYPE:NeraphRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Neraphim are natural jumpers. They have a +5 racial bonus on Jump checks.	KEY:Neraph ~ Leap									BONUS:SKILL|Jump|5|TYPE=Racial																		SOURCEPAGE:PH	
Weapon Familiarity	CATEGORY:Special Ability	TYPE:NeraphRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Neraphim may treat the annulat (see page 68) as a martial weapon rather than an exotic weapon.	KEY:Neraph ~ Weapon Familiarity											CHANGEPROF:Annulat=Martial																SOURCEPAGE:PH	
Natural Armor Bonus	CATEGORY:Special Ability	TYPE:NeraphRaceTrait.SpecialQuality	VISIBLE:YES	DESC:+2 Natural Armor: Natural skin encrustations grant neraphim some protection against harm.	KEY:Neraph ~ Natural Armor Bonus									BONUS:COMBAT|AC|2|TYPE=NaturalArmor																		SOURCEPAGE:PH	
Spot Skill Bonus	CATEGORY:Special Ability	TYPE:NeraphRaceTrait.SpecialQuality	VISIBLE:YES	DESC:+2 racial bonus on Spot checks.	KEY:Neraph ~ Spot Skill Bonus				DEFINE:NeraphSpotSkillBonus|0					BONUS:VAR|NeraphSpotSkillBonus|2	BONUS:SKILL|Spot|NeraphSpotSkillBonus|TYPE=Racial																	SOURCEPAGE:PH	
Search Skill Bonus	CATEGORY:Special Ability	TYPE:NeraphRaceTrait.SpecialQuality	VISIBLE:YES	DESC:+2 racial bonus on Search checks.	KEY:Neraph ~ Search Skill Bonus				DEFINE:NeraphSearchSkillBonus|0					BONUS:VAR|NeraphSearchSkillBonus|2	BONUS:SKILL|Search|NeraphSearchSkillBonus|TYPE=Racial																	SOURCEPAGE:PH	
Languages	CATEGORY:Special Ability	TYPE:NeraphRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Neraph, Slaad. Bonus Languages: Common, Celestial, Abyssal.	KEY:Neraph ~ Languages																		TEMPLATE:Neraph ~ Common ~ Languages									SOURCEPAGE:PH	
Favored Class	CATEGORY:Special Ability	TYPE:NeraphRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Ranger.	KEY:Neraph ~ Favored Class																		TEMPLATE:Neraph ~ Common ~ Favored Class									SOURCEPAGE:PH	
																																	
Race Traits ~ Shadowswyft	CATEGORY:Internal				BONUS:VAR|AdvancementByClass|1																		ABILITY:Special Ability|AUTOMATIC|Shadowswyft Racial Traits	ABILITY:Shadowswyft Subrace|AUTOMATIC|Shadowswyft ~ Common|!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice									
Shadowswyft Racial Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:DISPLAY		KEY:Shadowswyft Racial Traits																												
