SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2014-08																																																																																																																																																																																																																																																																																																						
Rogue	CATEGORY:CLASS								DEFINE:POOL_Rogue_Skill|0														ABILITY:Internal|AUTOMATIC|Tool Proficiency ~ Thieves' Tools|TYPE=ArmorProfLight									SOURCEPAGE:PHB													BONUS:VAR|POOL_Rogue_Skill|1																																																																																																																																																																																																																																																												
Sorcerer	CATEGORY:CLASS																															SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Warlock	CATEGORY:CLASS																						ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfLight	ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple								SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Wizard	CATEGORY:CLASS																															SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																																																																									
###Block:Abilities																																																																																																																																																																																																																																																																																																									
Rage	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:In battle, you fight with primai ferocity. On your turn, you can enter a rage as a bonus action. While raging, you gain the following benefits ifyou aren't wearing heavy armor: &nl; You have advantage on Strength checks and Strength saving throws. &nl; When you make a melee weapon attack using Strcngth, you gain a bonus to the damage roll that increases as you gain leveis as a barbarian, as shown in the Rage Damage column of the Barbarian table.&nl; You have resistance to bludgeoning, piercing, and slashing damage.&nl; If you are able to cast spells, you ean't cast them or concentrate on tbem while raging. &nl; Your rage lasts for 1 minute. lt ends early if you are knocked unconscious or if your turn ends and you haven't attacked a hostile creature since your last turn or taken damage since then. Vou can also end your rage on your turn as a bonus action. &nl; Once you have raged the number of times shown for your barbarian leveI in the Rages column of the Barbarian table, you must finish a long rest before you can rage again.	KEY:Barbarian ~ Rage				DEFINE:Raging|0	DEFINE:RageDamageBonus|0	DEFINE:RageTimes|0			BONUS:VAR|MeleeStrBonus|RageDamageBonus|PREVAREQ:Raging,1	BONUS:VAR|RageTimes|2+(BarbarianLVL>2)+(BarbarianLVL>5)+(BarbarianLVL>11)+(BarbarianLVL>16)	BONUS:VAR|RageDamageBonus|2+(BarbarianLVL>8)+(BarbarianLVL>15)														TEMPBONUS:PC|VAR|Raging|1	SORTKEY:Class	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Unarmored Defense	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:While you are not wearing any armor, your Armor Class equals 10 + your Dexterity modifier + your Constitution modifier. You can use a shield and still gain this benefit.	KEY:Barbarian ~ Unarmored Defense																										SORTKEY:Class	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Reckless Attack	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:Starting at 2nd levei, you can throw aside ali concern for defense to attack with fierce desperation. When you make your first attack on your turn, you can decide to attack recklessly. Doing so gives you advantage on melee weapon attack rolls using Strength during this turn, but attack rolls against you have advantage until your next turno	KEY:Barbarian ~ Reckless Attack																										SORTKEY:Class	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Danger Sense	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:At 2nd level, you gain an uncanny sense of when things nearby aren't as they should be, giving you an edge when you dodge away from danger. You have advantage on Dexterity saving throws against effects that you can see, such as traps and spells. To gain this benefit, you can't be blinded, deafened, or incapacitated.	KEY:Barbarian ~ Danger Sense																									ASPECT:SaveBonus|You have advantage on Dexterity saving throws against effects that you can see, such as traps and spells. 	SORTKEY:Class	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Primal Path	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:At 3rd levei. you choose a path that shapes the nature of your rage. Choose the Path of the Berserker or the Path of the Totem Warrior, both detailed at the end of the c1ass description. Your choice grants you features at 3rd level and again at 6th, 10th, and 14th levels.	KEY:Barbarian ~ Primal Path									BONUS:ABILITYPOOL|Barbarian Primal Path|1																	SORTKEY:Class	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Ability Score Improvement	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.	KEY:Barbarian ~ Ability Score Improvement									BONUS:VAR|POOL_Character_Advancement_Selection|2*((BarbarianLVL>=4)+(BarbarianLVL>=8)+(BarbarianLVL>=12)+(BarbarianLVL>=16)+(BarbarianLVL>=19))																	SORTKEY:Class	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Extra Attack	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:Beginning at 5th levei, you can attack twice, instead of once, whenever you take the Attack action on your turno	KEY:Barbarian ~ Extra Attack																		ABILITY:Internal|AUTOMATIC|Extra Attack ~ 1								SORTKEY:Class	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Fast Movement	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:Starting at 5th levei, your speed increases by 10 feet while you aren't wearing heavy armor.	KEY:Barbarian ~ Fast Movement									BONUS:MOVEADD|TYPE.Walk|10|!PREEQUIP:1,TYPE=Armor.HeavyArmor																	SORTKEY:Class	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Feral Instinct	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:By 7th level, your instincts are so honed that you have advantage on initiative rolls. Additionally, if you are surprised at the beginning of combat and aren't incapacitated. you can act normally on your first turn, but only if you enter your rage before doing anything else on that turn.	KEY:Barbarian ~ Feral Instinct																										SORTKEY:Class	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Brutal Critical	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:Beginning at 9th level, you can roll one additional weapon damage die when determining the extra damage for a criticai hit with a melee attack. This increases to two additional dice at 13th level and three additional dice at 17th level.	KEY:Barbarian ~ Brutal Critical																										SORTKEY:Class	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Relentless Rage	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:Starting at 11th levei, your rage can keep you fighting despite grievous wounds. lf you drop to O hit points while you're raging and don't die outright, you can make a DC 10 Constitution saving throw. lfyou succeed. You drop to 1 hit point inslead. Each time you use this feature after the first. the DC increases by 5. When you finish a short or long rest, the DC resets to 10.	KEY:Barbarian ~ Relentless Rage																										SORTKEY:Class	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Persistent Rage	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:Beginning at 15th level, your rage is so fierce that it ends early only if you fail unconscious or if you choose to end it.	KEY:Barbarian ~ Persistent Rage																										SORTKEY:Class	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Indomitable Might	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:Beginning at 18th level, if your total for a Strength check is less than your Strength score, you can use that score in place of the total.	KEY:Barbarian ~ Indomitable Might																										SORTKEY:Class	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Primal Champion	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.SpecialQuality	VISIBLE:YES	DESC:At 20th level. you embody the power of the wilds. Your Strength and Constitution scores increase by 4. Your maximum for those scores is now 24.	KEY:Barbarian ~ Primal Champion									BONUS:STAT|CON|4	BONUS:STAT|STR|4	BONUS:VAR|MaxStatCon|4	BONUS:VAR|MaxStatStr|4														SORTKEY:Class	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																																																																									
Path of the Berserker	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.Barbarian Primal Path.Primal Path.SpecialQuality	VISIBLE:YES	DESC:For some barbarians, rage is a means to an end--that end being violence. The Path of the Berserker is a path of untrammeled fury, slick with blood. As you enter the berserker's rage, you thrill in the chaos of battle, heedless of your own health or well-being.	KEY:Primal Path ~ Path of the Berserker																		ABILITY:Barbarian Class Feature|AUTOMATIC|Path of the Berserker ~ Frenzy	ABILITY:Barbarian Class Feature|AUTOMATIC|Path of the Berserker ~ Mindless Rage|PREVAREQ:BarbarianLVL,6	ABILITY:Barbarian Class Feature|AUTOMATIC|Path of the Berserker ~ Intimidating Presence|PREVAREQ:BarbarianLVL,10	ABILITY:Barbarian Class Feature|AUTOMATIC|Path of the Berserker ~ Retaliation|PREVAREQ:BarbarianLVL,14					SORTKEY:Class	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Path of the Totem Warrior	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.Barbarian Primal Path.Primal Path.SpecialQuality	VISIBLE:YES	DESC:The Path of the Totem Warrior is a spiritual journey, as the barbarian accepts a spirit animal as guide, protector, and inspiration. In battle. your totem spirit fills you with supernatural might. adding magical fuel to your barbarian rage. Most barbarian tribes consider a totem animal to be kin to a particular clan. In such cases. it is unusual for an individual to have more than one totem animal spirit, though exceptions exist.	KEY:Primal Path ~ Path of the Totem Warrior																		ABILITY:Barbarian Class Feature|AUTOMATIC|Path of the Totem Warrior ~ Spirit Seeker	ABILITY:Barbarian Class Feature|AUTOMATIC|Path of the Totem Warrior ~ Totem Spirit	ABILITY:Barbarian Class Feature|AUTOMATIC|Path of the Totem Warrior ~ Aspect of the Beast|PREVARGTEQ:BarbarianLVL,6	ABILITY:Barbarian Class Feature|AUTOMATIC|Path of the Totem Warrior ~ Spirit Walker|PREVARGTEQ:BarbarianLVL,10	ABILITY:Barbarian Class Feature|AUTOMATIC|Path of the Totem Warrior ~ Totemic Attunement|PREVARGTEQ:BarbarianLVL,14				SORTKEY:Class	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																																																																									
Frenzy	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.Path of the Berserker.SpecialQuality	VISIBLE:YES	DESC:Starting when you choose this path at 3rd level, you can go into a frenzy when you rage. If you do so, for the duration of your rage you can make a single melee weapon attack as a bonus action on each of your turns after this one. When your rage ends, you suffer one level of exhaustion (as described in appendix A).	KEY:Path of the Berserker ~ Frenzy																										SORTKEY:Class	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Mindless Rage	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.Path of the Berserker.SpecialQuality	VISIBLE:YES	DESC:Beginning at 6th level, you can't be charmed or frightened while raging. If you are charmed or frightened when you enter your rage, the effect is suspended for the duration of the rage.	KEY:Path of the Berserker ~ Mindless Rage																										SORTKEY:Class	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Intimidating Presence	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.Path of the Berserker.SpecialQuality	VISIBLE:YES	DESC:Beginning at 10th level, you can use your action to frighten someone with your menacing presence. When you do so, choose one creature that you can see within 30 feet of you. If the creature can see or hear you, it must succeed on a Wisdom saving throw (DC equal to %1) or be frightened of you until the end of your next turn. On subsequent turns, you can use your action to extend the duration of this effect on the frightened creature until the end of your next turn. This effect ends if the creature ends its turn out of line of sight or more than 60 feet away from you. If the creature succeeds on its saving throw, you can't use this feature on that creature again for 24 hours.|8+Proficiency_Bonus+CHA	KEY:Path of the Berserker ~ Intimidating Presence																										SORTKEY:Class	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Retaliation	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.Path of the Berserker.SpecialQuality	VISIBLE:YES	DESC:Starting at 14th level, when you take damage from a creature that is within 5 feet of you. you can use your reaction to make a melee weapon attack against that creature.	KEY:Path of the Berserker ~ Retaliation																										SORTKEY:Class	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																																																																									
Spirit Seeker	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.Path of the Totem Warrior.SpecialQuality	VISIBLE:YES	DESC:Yours is a path that seeks attunement with the natural world, giving you a kinship with beasts. At 3rd level when you adopt this path, you gain the ability to cast the beast sense and speak with animals spells, but only as rituals, as described in chapter 10.	KEY:Path of the Totem Warrior ~ Spirit Seeker																		SPELLS:Spirit Seeker|TIMES=ATWILL|Beast Sense (Ritual)	SPELLS:Spirit Seeker|TIMES=ATWILL|Speak with Animals (Ritual)							SORTKEY:Class	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Totem Spirit	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.Path of the Totem Warrior.SpecialQuality	VISIBLE:YES	DESC:At 3rd level, when you adopt this path, you choose a totem spirit and gain its feature. You must make or acquire a physical totem object-an amulet or similar adornment-that incorporates fur or feathers, claws, teeth, or bones of the totem animal. At your option, you also gain minor physical attributes that are reminiscent of your totem spirit. For example, if you have a bear totem spirit, you might be unusually hairy and thickskinned, or if your totem is the eagle, your eyes turn bright yellow. Your totem animal might be an animal related to those listed here but more appropriate to your homeland. For example, you could choose a hawk or vulture in place of an eagle.	KEY:Path of the Totem Warrior ~ Totem Spirit									BONUS:ABILITYPOOL|Totem Spirit Choice|1																	SORTKEY:Class	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Aspect of the Beast	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.Path of the Totem Warrior.SpecialQuality	VISIBLE:YES	DESC:At 6th level, you gain a magical benefit based on the totem animal of your choice. You can choose the same animal you selected at 3rd level or a different one.	KEY:Path of the Totem Warrior ~ Aspect of the Beast									BONUS:ABILITYPOOL|Aspect of the Beast Choice|1																	SORTKEY:Class	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Spirit Walker	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.Path of the Totem Warrior.SpecialQuality	VISIBLE:YES	DESC:At 10th level, you can cast the commune with nature spell, but only as a ritual. When you do so, a spiritual version of one of the animals you chose for Totem Spirit or Aspect of the Beast appears to you to convey the information you seek.	KEY:Path of the Totem Warrior ~ Spirit Walker																		SPELLS:Spirit Walker|TIMES=ATWILL|Commune with Nature (Ritual)								SORTKEY:Class	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Totemic Attunement	CATEGORY:Special Ability	TYPE:Barbarian Class Feature.Class Feature.Path of the Totem Warrior.SpecialQuality	VISIBLE:YES	DESC:At 14th level, you gain a magical benefit based on a totem animal of your choice. You can choose the same animal you selected previously or a different one.	KEY:Path of the Totem Warrior ~ Totemic Attunement									BONUS:ABILITYPOOL|Totemic Attunement|1																	SORTKEY:Class	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																																																																									
# Totem Spirit Choice																																																																																																																																																																																																																																																																																																									
Totem Spirit Bear	CATEGORY:Special Ability	TYPE:Path of the Totem Warrior Totem Spirit Choice.SpecialQuality.Class Feature	VISIBLE:YES	DESC:Bear. While raging, you have resistance to all damage except psychic damage. The spirit of the bear makes you tough enough to stand up to any punishment.	KEY:Totem Spirit Choice ~ Bear																										SORTKEY:Class	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Totem Spirit Eagle	CATEGORY:Special Ability	TYPE:Path of the Totem Warrior Totem Spirit Choice.SpecialQuality.Class Feature	VISIBLE:YES	DESC:Eagle. While you're raging and aren't wearing heavy armor, other creatures have disadvantage on opportunity attack rolls against you, and you can use the Dash action as a bonus action on your turn. The spirit of the eagle makes you into a predator who can weave through the fray with ease.	KEY:Totem Spirit Choice ~ Eagle																										SORTKEY:Class	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Totem Spirit Wolf	CATEGORY:Special Ability	TYPE:Path of the Totem Warrior Totem Spirit Choice.SpecialQuality.Class Feature	VISIBLE:YES	DESC:Wolf. While you're raging, your friends have advantage on melee attack rolls against any creature within 5 feet of you that is hostile to you. The spirit of the wolf makes you a leader of hunters.	KEY:Totem Spirit Choice ~ Wolf																										SORTKEY:Class	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																																																																									
# Aspect of the Beast Choice																																																																																																																																																																																																																																																																																																									
Aspect of the Bear	CATEGORY:Special Ability	TYPE:Path of the Totem Warrior Aspect of the Beast Choice.SpecialQuality.Class Feature	VISIBLE:YES	DESC:Bear. You gain the might of a bear. Your carrying capacity (including maximum load and maximum lift) is doubled, and you have advantage on Strength checks made to push, pull, lift, or break objects.	KEY:Aspect of the Beast Choice ~ Bear				DEFINE:BearAspectStrength|0					BONUS:VAR|BearAspectStrength|(SIZE==0)*4+(SIZE==1)*6+(SIZE==2)*8+(SIZE==3)*16+(SIZE==4)*32+(SIZE==5)*64	BONUS:LOADMULT|BearAspectStrength|TYPE=SIZE																SORTKEY:Class	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Aspect of the Eagle	CATEGORY:Special Ability	TYPE:Path of the Totem Warrior Aspect of the Beast Choice.SpecialQuality.Class Feature	VISIBLE:YES	DESC:Eagle. You gain the eyesight of an eagle. You can see up to 1 mile away with no difficulty, able to discern even fine details as though looking at something no more than 100 feet away from you. Additionally, dim light doesn't impose disadvantage on your Wisdom (Perception) checks.	KEY:Aspect of the Beast Choice ~ Eagle																										SORTKEY:Class	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Aspect of the Wolf	CATEGORY:Special Ability	TYPE:Path of the Totem Warrior Aspect of the Beast Choice.SpecialQuality.Class Feature	VISIBLE:YES	DESC:Wolf. You gain the hunting sensibilities of a wolf. You can track other creatures while traveling at a fast pace, and you can move stealthily while traveling at a normal pace (see chapter 8 for rules on travel pace).	KEY:Aspect of the Beast Choice ~ Wolf																										SORTKEY:Class	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																																																																									
# Totemic Attunement																																																																																																																																																																																																																																																																																																									
Totemic Attunement Bear	CATEGORY:Special Ability	TYPE:Path of the Totem Warrior Totemic Attunement.SpecialQuality.Class Feature	VISIBLE:YES	DESC:Bear. While you're raging, any creature within 5 feet of you that's hostile to you has disadvantage on attack rolls against targets other than you or another character with this feature. An enemy is immune to this effect if it can't see or hear you or if it can't be frightened.	KEY:Totemic Attunement ~ Bear																										SORTKEY:Class	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Totemic Attunement Eagle	CATEGORY:Special Ability	TYPE:Path of the Totem Warrior Totemic Attunement.SpecialQuality.Class Feature	VISIBLE:YES	DESC:Eagle. While raging, you have a flying speed equal to your current walking speed. This benefit works only in short bursts; you fall if you end your turn in the air and nothing else is holding you aloft.	KEY:Totemic Attunement ~ Eagle																										SORTKEY:Class	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Totemic Attunement Wolf	CATEGORY:Special Ability	TYPE:Path of the Totem Warrior Totemic Attunement.SpecialQuality.Class Feature	VISIBLE:YES	DESC:Wolf. While you're raging, you can use a bonus action on your turn to knock a Large or smaller creature prone when you hit it with melee weapon attack.	KEY:Totemic Attunement ~ Wolf																										SORTKEY:Class	SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																																																																									
																																																																																																																																																																																																																																																																																																									
###Block:Abilities																																																																																																																																																																																																																																																																																																									
Spellcasting	CATEGORY:Special Ability	TYPE:Bard Class Feature.SpecialQuality.Class Feature	VISIBLE:YES	DESC:You have learned to untangle and reshape the fabric of reality in harmony with your wishes and music. Your spells are part of your vast repertoire, magic that you can tune to different situations. See chapter 10 for the general rules of spellcasting and chapter 11 for the bard spell list. Spell save DC %1; Spell attack modifier +%2|BardSpellDC|Proficiency_Bonus+CHA	KEY:Bard ~ Spellcasting				DEFINE:BardSpellDC|0																							SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Cantrips	CATEGORY:Special Ability	TYPE:Bard Class Feature.SpecialQuality.Class Feature	VISIBLE:YES	DESC:You know two cantrips of your choice from the bard spell list. You learn additional bard cantrips of your choice at higher levels, as shown in the Cantrips Known column of the Bard table.	KEY:Bard ~ Cantrips				DEFINE:POOL_Bard_Cantrip|0					BONUS:VAR|POOL_Bard_Cantrip|2+(BardLVL>=4)+(BardLVL>=10)																		SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Bardic Inspiration	CATEGORY:Special Ability	TYPE:Bard Class Feature.SpecialQuality.Class Feature	VISIBLE:YES	DESC:You can inspire others through stirring words or music. To do so, you use a bonus action on your turn to choose one creature other than yourself within 60 feet of you who can hear you. That creature gains one Bardic Inspiration die, a d%1. Once within the next 10 minutes, the creature can roll the die and add the number rolled to one ability check, attack roll, or saving throw it makes. The creature can wait until after it rolls the d20 before deciding to use the Bardic Inspiration die, but must decide before the DM says whether the roll succeeds or fails. Once the Bardic Inspiration die is rolled, it is lost. A creature can have only one Bardic Inspiration die at a time. You can use this feature a number of times equal to %2. You regain any expended uses when you finish a long rest.|BardInspirationDice|max(1,CHA)	KEY:Bard ~ Bardic Inspiration				DEFINE:BardInspirationDice|0					BONUS:VAR|BardInspirationDice|6+(BardLVL>=5)*2+(BardLVL>=10)*2+(BardLVL>=15)*2																		SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Jack of All Trades	CATEGORY:Special Ability	TYPE:Bard Class Feature.SpecialQuality.Class Feature	VISIBLE:YES	DESC:Starting at 2nd level, you can add half your proficiency bonus, rounded down, to any ability check you make that doesn't already include your proficiency bonus.	KEY:Bard ~ Jack of All Trades																											SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Song of Rest	CATEGORY:Special Ability	TYPE:Bard Class Feature.SpecialQuality.Class Feature	VISIBLE:YES	DESC:Beginning at 2nd level, you can use soothing music or oration to help revitalize your wounded allies during a short rest. If you or any friendly creatures who can hear your performance regain hit points at the end of the short rest, each of those creatures regains an extra 1d%1 hit points. A creature regains the extra hit points only if it spends one or more Hit Dice at the end of the short rest.|BardRestDice	KEY:Bard ~ Song of Rest				DEFINE:BardRestDice|0					BONUS:VAR|BardRestDice|6+(BardLVL>=9)*2+(BardLVL>=13)*2+(BardLVL>=17)*2																		SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Bard College	CATEGORY:Special Ability	TYPE:Bard Class Feature.SpecialQuality.Class Feature	VISIBLE:YES	DESC:At 3rd level, you delve into the advanced techniques of a bard college of your choice: the College of Lore or the College of Valor, both detailed at the end of the class description. Your choice grants you features at 3rd level and again at 6th and 14th level.	KEY:Bard ~ Bard College									BONUS:ABILITYPOOL|Bard College|1																		SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Expertise	CATEGORY:Special Ability	TYPE:Bard Class Feature.SpecialQuality.Class Feature	VISIBLE:YES	DESC:At 3rd level, choose two of your skill proficiencies. Your proficiency bonus is doubled for any ability check you make that uses either of the chosen proficiencies. At 10th level, you can choose another two skill proficiencies to gain this benefit.	KEY:Bard ~ Expertise									BONUS:VAR|POOL_Expertise|2*((BardLVL>=3)+(BardLVL>=10))																		SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
Ability Score Improvement	CATEGORY:Special Ability	TYPE:Bard Class Feature.SpecialQuality.Class Feature	VISIBLE:YES	DESC:When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability s cores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature.	KEY:Bard ~ Ability Score Improvement									BONUS:VAR|POOL_Character_Advancement_Selection|2*((BardLVL>=4)+(BardLVL>=8)+(BardLVL>=12)+(BardLVL>=16)+(BardLVL>=19))																		SOURCEPAGE:PHB																																																																																																																																																																																																																																																																									
