SOURCELONG:Complete Warrior	SOURCESHORT:CW	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-11																														
																																	
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.SamuraiClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A samurai is profi cient with all simple and martial weapons, and with all types of armor, but not with shields.	KEY:Samurai ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfHeavy							SORTKEY:Class_Samurai	SOURCEPAGE:CW	
Daisho Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.SamuraiClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:In melee combat, a samurai favors the katana (a masterwork bastard sword) and the wakizashi (a masterwork short sword). Many samurai receive an heirloom set of these two blades, known as the daisho. Because a samurai is trained in their use, he gains Exotic Weapon Profi ciency (bastard sword) as a bonus feat.	KEY:Samurai ~ Daisho Proficiency																		ABILITY:FEAT|AUTOMATIC|Exotic Weapon Proficiency (Sword (Bastard))								SORTKEY:Class_Samurai	SOURCEPAGE:CW	
Two Swords as One	CATEGORY:Special Ability	TYPE:ClassFeatures.SamuraiClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 2nd level, a samurai has learned to wield the katana and wakizashi together. He is treated as having the Two-Weapon Fighting feat when wielding a katana and wakizashi, even if he does not meet the prerequisites for that feat.	KEY:Samurai ~ Two Swords as One																		ABILITY:FEAT|AUTOMATIC|Two-Weapon Fighting|PREEQUIP:2,Sword (Katana),Sword (Wakizashi)								SORTKEY:Class_Samurai	SOURCEPAGE:CW	
Kiai Smite	CATEGORY:Special Ability	TYPE:ClassFeatures.SamuraiClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Once per day, a samurai of 3rd level or higher can give a great cry during combat that invigorates him. When a sam urai shouts (a free action), his next attack gains a bonus on the attack roll and the damage roll equal to his Charisma bonus (minimum +1). As a samurai gains levels, he can make a kiai smite more often.	KEY:Samurai ~ Kiai Smite	DESC:+%1 with one normal melee attack for +%2 extra damage %3/day|KiaiSmiteToHit|KiaiSmiteDamage|KiaiSmite			DEFINE:KiaiSmiteToHit|0	DEFINE:KiaiSmiteDamage|0	DEFINE:KiaiSmite|0			BONUS:VAR|KiaiSmite|(SamuraiLVL+3)/5	BONUS:VAR|KiaiSmiteToHit|max(CHA,1)	BONUS:VAR|KiaiSmiteDamage|max(CHA,1)															SORTKEY:Class_Samurai	SOURCEPAGE:CW	
Iaijutsu Master	CATEGORY:Special Ability	TYPE:ClassFeatures.SamuraiClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:By 5th level, a samurai has become adept at iaijutsu, a fi ghting technique that concentrates on drawing his weapon and striking a foe in one fl uid motion. He is treated as having the Quick Draw feat, but only when he draws his katana or wakizashi.	KEY:Samurai ~ Iaijutsu Master																		ABILITY:FEAT|AUTOMATIC|Quick draw|PREEQUIP:2,Sword (Katana),Sword (Wakizashi)								SORTKEY:Class_Samurai	SOURCEPAGE:CW	
Staredown	CATEGORY:Special Ability	TYPE:ClassFeatures.SamuraiClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 6th level, a samurai becomes able to strike fear into his foes by his mere presence. He gains a +4 bonus on Intimidate checks and can demoralize an opponent (as described in the Intimidate skill description, page 76 of the Player's Handbook).	KEY:Samurai ~ Staredown									BONUS:SKILL|Intimidate|4																	SORTKEY:Class_Samurai	SOURCEPAGE:CW	
Improved Initiative	CATEGORY:Special Ability	TYPE:ClassFeatures.SamuraiClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 8th level, the samurai has practiced iaijutsu techniques used in ritual duels between two samurai, and he is able to anticipate when any enemy will attack. He now has the Improved Initiative feat.	KEY:Samurai ~ Improved Initiative																		ABILITY:FEAT|AUTOMATIC|Improved Initiative								SORTKEY:Class_Samurai	SOURCEPAGE:CW	
Mass Staredown	CATEGORY:Special Ability	TYPE:ClassFeatures.SamuraiClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 10th level, a samurai has sufficient presence that he can cow multiple foes. Using a Intimidate check, the samurai can demoralize all opponents within 30 feet with a single standard action.	KEY:Samurai ~ Mass Staredown																										SORTKEY:Class_Samurai	SOURCEPAGE:CW	
Improved Two Swords as One	CATEGORY:Special Ability	TYPE:ClassFeatures.SamuraiClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 11th level, a samurai's prowess with the katana and wakizashi improves. He is treated as having the Improved Two-Weapon Fighting feat when wielding a katana and wakizashi, even if he does not meet the prerequisites for the feat.	KEY:Samurai ~ Improved Two Swords as One																		ABILITY:FEAT|AUTOMATIC|Improved Two-Weapon Fighting|PREEQUIP:2,Sword (Katana),Sword (Wakizashi)								SORTKEY:Class_Samurai	SOURCEPAGE:CW	
Improved Staredown	CATEGORY:Special Ability	TYPE:ClassFeatures.SamuraiClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 14th level, even a glance from the hard eyes of a samurai is enough to give his foes pause. The samurai can demoralize opponents within 30 feet as a move action, not a standard action.	KEY:Samurai ~ Improved Staredown																										SORTKEY:Class_Samurai	SOURCEPAGE:CW	
Greater Two Swords as One	CATEGORY:Special Ability	TYPE:ClassFeatures.SamuraiClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 16th level, fi ghting with a katana and wakizashi becomes second nature for a samurai. He is treated as having the Greater Two-Weapon Fighting feat when wielding a katana and wakizashi, even if he does not meet the prerequisites for that feat.	KEY:Samurai ~ Greater Two Swords as One																		ABILITY:FEAT|AUTOMATIC|Greater Two-Weapon Fighting|PREEQUIP:2,Sword (Katana),Sword (Wakizashi)								SORTKEY:Class_Samurai	SOURCEPAGE:CW	
Frightful Presence	CATEGORY:Special Ability	TYPE:ClassFeatures.SamuraiClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A 20th-level samurai's bravery, honor, and fi ghting prowess have become legendary. When the samurai draws his blade, opponents within %2 feet must succeed on a Will save (DC 20 + samurai's Cha modifier, DC %1) or become panicked for 4d6 rounds (if they have 4 or fewer Hit Dice) or shaken for 4d6 rounds (if they have from 5 to 19 Hit Dice). Creatures with 20 or more Hit Dice are not affected. Any foe that successfully resists the effect cannot be affected again by the same samurai's frightful presence for 24 hours.|FrightfulPresenceDC|FrightfulPresenceRange	KEY:Samurai ~ Frightful Presence				DEFINE:FrightfulPresenceRange|0	DEFINE:FrightfulPresenceDC|0				BONUS:VAR|FrightfulPresenceDC|20+CHA	BONUS:VAR|FrightfulPresenceDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Frightful Presence)	BONUS:VAR|FrightfulPresenceRange|30							ABILITY:Ability Focus|AUTOMATIC|Frightful Presence								SORTKEY:Class_Samurai	SOURCEPAGE:CW	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.SwashbucklerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Swashbucklers are profi cient with all simple and martial weapons, and with light armor. Some of the swashbuckler's class features, as noted below, rely on her being no more than lightly armored and unencumbered.	KEY:Swashbuckler ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfLight							SORTKEY:Class_Swashbuckler	SOURCEPAGE:CW	
Weapon Finesse	CATEGORY:Special Ability	TYPE:ClassFeatures.SwashbucklerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A swashbuckler gains Weapon Finesse as a bonus feat at 1st level even if she does not qualify for the feat.	KEY:Swashbuckler ~ Weapon Finesse																		ABILITY:FEAT|AUTOMATIC|Weapon Finesse								SORTKEY:Class_Swashbuckler	SOURCEPAGE:CW	
Grace	CATEGORY:Special Ability	TYPE:ClassFeatures.SwashbucklerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A swashbuckler gains a +1 competence bonus on Refl ex saves at 2nd level. This bonus increases to +2 at 11th level and to +3 at 20th level. A swashbuckler loses this bonus when wearing medium or heavy armor or when carrying a medium or heavy load.	KEY:Swashbuckler ~ Grace				DEFINE:GraceBonus|0					BONUS:VAR|GraceBonus|(SwashbucklerLVL+7)/9	BONUS:SAVE|Reflex|GraceBonus|TYPE=Competence|PREVARLT:ENCUMBERANCE,1,var("COUNT[EQTYPE.ARMOR.IS.HEAVY]"),1,var("COUNT[EQTYPE.ARMOR.IS.MEDIUM]"),1																SORTKEY:Class_Swashbuckler	SOURCEPAGE:CW	ASPECT:Name|Grace +%1|GraceBonus
Insightful Strike	CATEGORY:Special Ability	TYPE:ClassFeatures.SwashbucklerClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:At 3rd level, a swashbuckler becomes able to place her fi nesse attacks where they deal greater damage. She applies her Intelligence bonus (if any) as a bonus on damage rolls (in addition to any Strength bonus she may have) with any light weapon, as well as any other weapon that can be used with Weapon Finesse, such as a rapier, whip, or spiked chain. Targets immune to sneak attacks or critical hits are immune to the swashbuckler’s insightful strike. A swashbuckler cannot use this ability when wearing medium or heavy armor or when carrying a medium or heavy load.	KEY:Swashbuckler ~ Insightful Strike									BONUS:WEAPONPROF=Finesseable|DAMAGE|max(INT,0)|TYPE=InsightfulStrike	BONUS:WEAPONPROF=Light|DAMAGE|max(INT,0)|TYPE=InsightfulStrike																SORTKEY:Class_Swashbuckler	SOURCEPAGE:CW	
Dodge Bonus	CATEGORY:Special Ability	TYPE:ClassFeatures.SwashbucklerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A swashbuckler is trained at focusing her defenses on a single opponent in melee. During her action, she may designate an opponent and receive a +1 dodge bonus to Armor Class against melee attacks from that opponent. She can select a new opponent on any action. This bonus increases by +1 at every five levels after 5th (+2 at 10th level, +3 at 15th, and +4 at 20th). A swashbuckler loses this bonus when wearing medium or heavy armor or when carrying a medium or heavy load. If the swashbuckler also has the Dodge feat, she need not designate the same target for this ability as for the Dodge feat (If she designates the same target, the bonuses stack).	KEY:Swashbuckler ~ Dodge Bonus				DEFINE:DodgeBonus|0					BONUS:VAR|DodgeBonus|SwashbucklerLVL/5																	SORTKEY:Class_Swashbuckler	SOURCEPAGE:CW	ASPECT:Name|Dodge Bonus +%1|DodgeBonus
Acrobatic Charge	CATEGORY:Special Ability	TYPE:ClassFeatures.SwashbucklerClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A swashbuckler of 7th level or higher can charge in situations where others cannot. She may charge over diffi cult terrain that normally slows movement or allies blocking her path. This ability enables her to run down steep stairs, leap down from a balcony, or to tumble over tables to get to her target. Depending on the circumstance, she may still need to make appropriate checks (Jump or Tumble checks, in particular) to successfully move over the terrain.	KEY:Swashbuckler ~ Acrobatic Charge																										SORTKEY:Class_Swashbuckler	SOURCEPAGE:CW	
Improved Flanking	CATEGORY:Special Ability	TYPE:ClassFeatures.SwashbucklerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A swashbuckler of 8th level or higher who is flanking an opponent gains a +4 bonus on attacks instead of a +2 bonus on attacks (Other characters flanking with the swashbuckler don’t gain this increased bonus).	KEY:Swashbuckler ~ Improved Flanking									BONUS:VAR|FlankingBonus|2																	SORTKEY:Class_Swashbuckler	SOURCEPAGE:CW	
Lucky	CATEGORY:Special Ability	TYPE:ClassFeatures.SwashbucklerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Many swashbucklers live by the credo "Better lucky than good". Once per day, a swashbuckler of 11th level or higher may reroll any failed attack roll, skill check, ability check, or saving throw. The character must take the result of the reroll, even if it’s worse than the original roll.	KEY:Swashbuckler ~ Lucky																										SORTKEY:Class_Swashbuckler	SOURCEPAGE:CW	
Acrobatic Skill Mastery	CATEGORY:Special Ability	TYPE:ClassFeatures.SwashbucklerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 13th level, a swashbuckler becomes so certain in the use of her acrobatic skills that she can use them reliably even under adverse conditions. When making a Jump or Tumble check, a swashbuckler may take 10 even if stress and distractions would normally prevent her from doing so.	KEY:Swashbuckler ~ Acrobatic Skill Mastery																										SORTKEY:Class_Swashbuckler	SOURCEPAGE:CW	
Weakening Critical	CATEGORY:Special Ability	TYPE:ClassFeatures.SwashbucklerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A swashbuckler of 14th level or higher who scores a critical hit against a creature also deals 2 points of Strength damage to the creature. Creatures immune to critical hits are immune to this effect.	KEY:Swashbuckler ~ Weakening Critical																										SORTKEY:Class_Swashbuckler	SOURCEPAGE:CW	
Slippery Mind	CATEGORY:Special Ability	TYPE:ClassFeatures.SwashbucklerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:When a swashbuckler reaches 17th level, her mind becomes more diffi cult to control. If the swashbuckler fails her save against an enchantment spell or effect, she can attempt the save again 1 round later at the same DC (assuming she is still alive). She gets only this one extra chance to succeed at a certain saving throw.	KEY:Swashbuckler ~ Slippery Mind																		ABILITY:Special Ability|AUTOMATIC|Slippery Mind								SORTKEY:Class_Swashbuckler	SOURCEPAGE:CW	
Weakening Critical	CATEGORY:Special Ability	TYPE:ClassFeatures.SwashbucklerClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A swashbuckler of 19th level or higher who scores a critical hit against a creature also deals 2 points of Constitution damage to the creature. (This damage is in addition to the Strength damage dealt by the swashbuckler’s weakening critical class feature.) Creatures immune to critical hits are immune to this effect.	KEY:Swashbuckler ~ Wounding Critical																										SORTKEY:Class_Swashbuckler	SOURCEPAGE:CW	
Combat Paladin	CATEGORY:ACF	TYPE:AlternateClass	VISIBLE:YES	DESC:Combat-oriented Paladin.		PRECLASS:1,Paladin=1																	ABILITY:Alternate Class Feature|AUTOMATIC|Combat Paladin ~ Spells|PREVARGTEQ:PaladinLVL,4	ABILITY:Alternate Class Feature|AUTOMATIC|Combat Paladin ~ Blessed Weapon|PREVARGTEQ:PaladinLVL,6	ABILITY:Alternate Class Feature|AUTOMATIC|Combat Paladin ~ Divine Might|PREVARGTEQ:PaladinLVL,11	ABILITY:Alternate Class Feature|AUTOMATIC|Combat Paladin ~ Tend to Mount|PREVARGTEQ:PaladinLVL,13	ABILITY:Alternate Class Feature|AUTOMATIC|Combat Paladin ~ Holy Sword|PREVARGTEQ:PaladinLVL,16			COST:0	SORTKEY:Class_Paladin	SOURCEPAGE:CW	
Spells	CATEGORY:ACF	TYPE:ACF.PaladinSpells.SpecialQuality	VISIBLE:YES	DESC:The paladin does not gain the ability to cast divine spells.	KEY:Combat Paladin ~ Spells	PREABILITY:1,CATEGORY=ACF,TYPE.AlternateClass,Combat Paladin																									SORTKEY:Class_Combat_Paladin	SOURCEPAGE:CW	
Blessed Weapon	CATEGORY:ACF	TYPE:ACF.PaladinBlessedWeapon.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Any melee weapon wielded by a paladin of 6th level or higher is treated as good-aligned for the purpose of overcoming damage reduction.	KEY:Combat Paladin ~ Blessed Weapon	PREABILITY:1,CATEGORY=ACF,TYPE.AlternateClass,Combat Paladin																									SORTKEY:Class_Combat_Paladin	SOURCEPAGE:CW	
Divine Might	CATEGORY:ACF	TYPE:ACF.PaladinDivineMight.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 11th level and higher, the paladin can use a standard action to add a +4 bonus to her Strength, Wisdom, or Charisma score. This ability may be used once per day, and its effect lasts for 1 minute per class level.	KEY:Combat Paladin ~ Divine Might	PREABILITY:1,CATEGORY=ACF,TYPE.AlternateClass,Combat Paladin	DESC:%1/day %2 rounds|DivineMightTimes|DivineMightDuration		DEFINE:DivineMightTimes|0	DEFINE:DivineMightDuration|0				BONUS:VAR|DivineMightTimes|1	BONUS:VAR|DivineMightDuration|PaladinLVL																SORTKEY:Class_Combat_Paladin	SOURCEPAGE:CW	
Tend to Mount	CATEGORY:ACF	TYPE:ACF.PaladinTendToMount.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A paladin of 13th level or higher who uses her lay on hands ability to heal her mount cures 5 points of damage per point of healing spent. In addition, the paladin may use her lay on hands ability to end any one of the following adverse conditions affecting her mount, at the cost of 5 points of healing per condition unless otherwise noted: ability damage (costs 1 point per ability point restored), blinded, confused, dazed, dazzled, deafened, diseased, exhausted, fatigued, feebleminded, insanity, nauseated, sickened, stunned, or poisoned. The paladin can remove adverse conditions at the same time that she heals damage, but any points of healing spent to end adverse conditions don't also cure hit point damage.	KEY:Combat Paladin ~ Tend to Mount	PREABILITY:1,CATEGORY=ACF,TYPE.AlternateClass,Combat Paladin																									SORTKEY:Class_Combat_Paladin	SOURCEPAGE:CW	
Holy Sword	CATEGORY:ACF	TYPE:ACF.PaladinHolySword.SpecialAttack.SpellLike	VISIBLE:YES	DESC:At 16th level, a paladin gains the ability to use holy sword once per day, as a caster whose level is equal to one-half the paladin’s class level.	KEY:Combat Paladin ~ Holy Sword	PREABILITY:1,CATEGORY=ACF,TYPE.AlternateClass,Combat Paladin																	SPELLS:Innate|TIMES=1|CASTERLEVEL=PaladinLVL/2|Holy Sword								SORTKEY:Class_Combat_Paladin	SOURCEPAGE:CW	
